,aet_modis,aet_gldas,aet_tc,aet_fldas
2001-09-30,0.0710009412406851,0.032649519595178006,0.04716917775259099,0.021011822521975868
2001-10-31,0.034092280225274066,0.03947495468948327,0.09292447389537681,0.026834100991453936
2001-11-30,0.04433254700063548,0.038988278819433356,0.1507961434566149,0.09661260459204714
2001-12-31,0.03886636707947325,0.0386286424691237,0.09374586653761412,0.09434521251856477
2002-01-31,0.044151312366426824,0.0656946779718305,0.08028888130091097,0.14014998159820058
2002-02-28,0.0806320620865904,0.1142809619602226,0.11782292256457769,0.17828933495791713
2002-03-31,0.12292678370277063,0.23771815748607292,0.21382555974744738,0.253896101048695
2002-04-30,0.10679630186367782,0.30858736150855204,0.19478302330149808,0.2785344944788418
2002-05-31,0.12585274196970775,0.3336795873567678,0.2522323853951667,0.26123035223892016
2002-06-30,0.19462839122616712,0.26841664388034064,0.11601411713161099,0.16930603231103888
2002-07-31,0.17183740550791798,0.09664178991507998,0.056425638332631756,0.04778382763356189
2002-08-31,0.10969587864936776,0.037721771745995586,0.03427044614723331,0.018363410245514935
2002-09-30,0.058744988758475794,0.014978463473290567,0.023567083487001574,0.00734108619328388
2002-10-31,0.026277750849408824,0.007303643927742291,0.01712540483220353,0.014664783241504309
2002-11-30,0.029488269413640758,0.07222630221303003,0.1498196485453274,0.07098070645209942
2002-12-31,0.03483392266503881,0.06150569186752049,0.11225140118139411,0.07721902329134228
2003-01-31,0.03431280842107541,0.07422074658800377,0.10046293429231849,0.12802420118630398
2003-02-28,0.08147592539051525,0.1449390444982402,0.12422752902723017,0.19683901041286458
2003-03-31,0.13210942431568495,0.27280121009622293,0.2206049759756137,0.2645805042222564
2003-04-30,0.11047533086340858,0.2625968141278194,0.25802694166955564,0.2657437413553814
2003-05-31,0.1599905950965794,0.41609988638051526,0.27946044513043555,0.3246277511736187
2003-06-30,0.137202090018107,0.35136219280119285,0.17465565370591302,0.2690639180171282
2003-07-31,0.12124606452942102,0.15223673749213404,0.07800148419615766,0.09609091140595515
2003-08-31,0.15514833526297195,0.09957217921616217,0.08284314526629141,0.04088670449725257
2003-09-30,0.07536572903522415,0.04077159120845339,0.028949743321019204,0.016682223726323067
2003-10-31,0.027178692236981394,0.014891030750215965,0.026484743473080784,0.010988062931207639
2003-11-30,0.04254587618256579,0.03483682511738102,0.11892418602614423,0.0596788908847263
2003-12-31,0.04020560931254454,0.053476203209910304,0.09161404738784241,0.1023347379900764
2004-01-31,0.05148398981103211,0.07004692012497098,0.08200206461174273,0.10782516547419713
2004-02-29,0.072508155076103,0.10977169779883313,0.13007178562161018,0.18277581326343353
2004-03-31,0.13343663854953966,0.3040056843282901,0.21412261244791453,0.30154171349748676
2004-04-30,0.1167670983990478,0.3654583412831336,0.22949638981762857,0.2979923456371748
2004-05-31,0.09271060097005406,0.3022829712217275,0.22396635679934318,0.21677221223944151
2004-06-30,0.21371391147967347,0.1747811753150263,0.118907613868651,0.11868836110967088
2004-07-31,0.18950992365389174,0.07170059084854796,0.05740694773998981,0.04501028934436207
2004-08-31,0.12141168057709291,0.0341647302723152,0.03478234707149253,0.02197987571764203
2004-09-30,0.0560294702702938,0.020923559873271682,0.028060402753151765,0.018405492060764115
2004-10-31,0.05688641877319969,0.05759621791076618,0.25710424430369927,0.053892251104221765
2004-11-30,0.03685793965250255,0.08116274045560226,0.11492352895111808,0.0857311679556493
2004-12-31,0.041816272768503415,0.06828247404859346,0.08245660929093805,0.07656081527996064
2005-01-31,0.0302640897531754,0.0759828870448156,0.05445434600455412,0.1015094843969211
2005-02-28,0.0933988700284974,0.11708390065938844,0.12235314925869412,0.16925445685016635
2005-03-31,0.14133160090907365,0.2631135819855312,0.23039503485486443,0.25576542205042935
2005-04-30,0.12403293954971517,0.3519511287121375,0.2343802659166137,0.3196846357935222
2005-05-31,0.16791647781547434,0.38525188141214384,0.2955798857923138,0.2884189182756512
2005-06-30,0.1834888154259659,0.3935983722224825,0.2346672849855989,0.24006295424456103
2005-07-31,0.14809906670836606,0.2838377932791773,0.09488475609608311,0.09264724423600147
2005-08-31,0.11838309599212607,0.07603840174414733,0.0489445653759149,0.026492812237979505
2005-09-30,0.08023553679486985,0.03691264509696304,0.03357721204006078,0.01506711454120854
2005-10-31,0.03631333681067665,0.06070881993013749,0.05841516138538471,0.040878037316621006
2005-11-30,0.039064501312884636,0.08094377683374011,0.13106152417385614,0.0707023027633323
2005-12-31,0.02685901070539489,0.06993437198234662,0.0908704490544996,0.08406462593213376
2006-01-31,0.04982033374276389,0.10235012999478256,0.09549376808454631,0.1334694234765979
2006-02-28,0.0743105976357637,0.1558320898443688,0.1519521230722443,0.1960722649510175
2006-03-31,0.08891744676261912,0.18060828746631433,0.19858668403556312,0.20856931692794745
2006-04-30,0.12991817841018105,0.26214388304678415,0.3092478056177227,0.29637892674940536
2006-05-31,0.17105203060358135,0.40211277709953075,0.3374933465494238,0.37105907793258097
2006-06-30,0.17186417841986357,0.3291926294341335,0.27787834937779415,0.3086978477347403
2006-07-31,0.14891198144111284,0.16196328185878314,0.12091144051951963,0.14090094707777795
2006-08-31,0.1689680263258469,0.054575792415187216,0.05786858066077804,0.03332678769200154
2006-09-30,0.08123076498065171,0.019636659878238098,0.035361484268594534,0.013451707439476244
2006-10-31,0.03340028480597459,0.030051071019703106,0.03473813379432901,0.02739224609560445
2006-11-30,0.04216390159907559,0.06777505811153774,0.1208601921198443,0.07473262167624864
2006-12-31,0.03721230834941832,0.07193484192706188,0.09637554504581416,0.10036386775916001
