,p_prism,p_gpm,p_dmet,p_chirps,p_psn
2001-09-30,0.023306558845228132,0.02853582619127507,0.025495459123659983,0.03240005695602473,0.03285696684244185
2001-10-31,0.08196174055909512,0.1051557290981377,0.11307821879788217,0.10538445199049572,0.08557967604714006
2001-11-30,0.35349988956764256,0.5337512559758973,0.4334469464889606,0.35387356928338215,0.502991962725067
2001-12-31,0.5381490343550237,0.8103483857588103,0.6039141075373012,0.5455117600899223,0.7705726020010029
2002-01-31,0.22907180166007682,0.35608191166838116,0.2842079706186857,0.34899787647970454,0.3149225984477256
2002-02-28,0.08455521686149466,0.16367651288523768,0.08436222452080067,0.12516021919086084,0.21507513623001878
2002-03-31,0.21990083988916106,0.2908493642026686,0.2102585868014257,0.2261424574856141,0.2920877500582519
2002-04-30,0.022245119748302247,0.08055561338956786,0.031303479022599605,0.06254132701118399,0.09126090903359407
2002-05-31,0.09145050383123776,0.11003652959932536,0.10219197641796979,0.07906747116789374,0.09004022602208676
2002-06-30,0.0,0.002539353156380667,0.0,0.011206989435544512,0.0028876016572952274
2002-07-31,2.54607320043826e-05,0.0008515479374983267,0.0,0.0027128252844832,0.00026786477759773494
2002-08-31,0.0,0.00041968374861712143,0.0,0.005851543688122647,0.0
2002-09-30,0.0,0.00029759340742055874,0.0,0.010621016728375501,0.0
2002-10-31,0.0,0.0051734470801433514,0.0,0.026750639351433528,0.0016085303250867918
2002-11-30,0.18812328592718058,0.3229848182759176,0.22576663107253836,0.18446651683851364,0.3304487792407329
2002-12-31,0.6912164540675713,1.1617356904830336,0.8297872980382316,0.8192129969204403,1.0850166554864504
2003-01-31,0.2104874556721712,0.35170815594021415,0.26318838809400413,0.31085796954676387,0.29906039041836163
2003-02-28,0.15283786036931948,0.19226390434183838,0.16631607216539673,0.22259363754958714,0.1684515623800159
2003-03-31,0.174654225053855,0.2679087884800654,0.21449901266550495,0.22449741312428143,0.2957510545937046
2003-04-30,0.31173922263522713,0.5306280465642212,0.34922911324537614,0.28342842812259905,0.5415978617188806
2003-05-31,0.0809029248973651,0.12768803779118573,0.08777241059397192,0.09230356890368602,0.12773729618495913
2003-06-30,4.326245498843901e-06,0.002182650775581552,0.0,0.010249020154910735,0.0009322079363424944
2003-07-31,4.361571357534102e-06,0.0013332167886997356,3.5622045096659065e-06,0.002746341802776085,0.0011059229035558296
2003-08-31,0.0417683352635365,0.06151170569316056,0.04795223892345832,0.023217747352124812,0.07457533356342477
2003-09-30,2.30228075054934e-06,0.000981156336073993,0.0,0.011439995118127683,0.002735719544522237
2003-10-31,0.004859651450283523,0.01517813537240436,0.014512665377942446,0.03185414107003931,0.0031278777483757865
2003-11-30,0.21060626779173455,0.28050688038912797,0.23980323888088306,0.2274002301685049,0.26584548416772963
2003-12-31,0.5210457796560335,0.8327394813862787,0.6155100604318773,0.5755104291665261,0.7834083087065344
2004-01-31,0.23520750717892028,0.3328309227071144,0.21871100118755446,0.276793412714854,0.2844594867567101
2004-02-29,0.45570598985021127,0.7363732851700359,0.5348306632892125,0.5511382694389694,0.6442503888462757
2004-03-31,0.08844385946776308,0.10539772653207763,0.08323602620853411,0.1028751053550505,0.10023002734963277
2004-04-30,0.019253157673792484,0.057886923200552866,0.020448358669068658,0.03710554863813399,0.08427989756497299
2004-05-31,0.00806594234417573,0.03853575258821214,0.0052381943654601455,0.034945930324476675,0.04590746497273829
2004-06-30,6.482859014398934e-05,0.005579854939134964,0.0,0.012416610917638734,0.00489423496769674
2004-07-31,0.0,0.0006340920162734582,0.0,0.0026943163088916458,0.00022501593688761823
2004-08-31,0.0,0.0004941271133764108,0.0,0.008331446652415307,0.0015661797085418704
2004-09-30,0.005058240110704668,0.009179865319800425,1.1051372608026688e-05,0.01717916701511798,0.019099189877765304
2004-10-31,0.2850969922437075,0.3675976790876244,0.2767374172805067,0.2665175220439698,0.3915824444657441
2004-11-30,0.1709867536586701,0.18521300804221932,0.2240436982124089,0.11861815838241868,0.14424116403925946
2004-12-31,0.3654956830042886,0.6132789600956007,0.3922476306958671,0.44439081709511824,0.544588160369475
2005-01-31,0.35340768755311125,0.4828480827412787,0.3760914980092643,0.33336980158404117,0.43913744176087083
2005-02-28,0.19511186665066887,0.26535250190158166,0.2088147471311922,0.2772473287369152,0.2856195847503213
2005-03-31,0.23892731069751635,0.430977789470543,0.2573135484590133,0.2675839961460294,0.4394804662136582
2005-04-30,0.0973793795705021,0.17961543066682786,0.10395783559217346,0.13126980601278382,0.1924121321531236
2005-05-31,0.1954219805025716,0.3609696624785856,0.22243536414691847,0.16253336484711137,0.3317302158024607
2005-06-30,0.07247592160962069,0.12885779599644892,0.09489024841423735,0.028112924964593233,0.10792764761868077
2005-07-31,4.244487510246465e-07,0.0004512739040730769,0.0,0.0026977586703075904,9.178695611878934e-05
2005-08-31,0.0,0.000490453695669257,0.0,0.005890326559658296,0.00015569306040429302
2005-09-30,0.0023329421523209442,0.010606582352122244,0.002019029661097865,0.014536183277557648,0.018221559194919693
2005-10-31,0.062429823200123316,0.08501108288585935,0.06797175085745849,0.08530227026591293,0.07991474067996268
2005-11-30,0.1934683481215955,0.3098866284834242,0.21842891676815865,0.21662580993049846,0.2944185534075372
2005-12-31,0.7961102242723255,1.3457561901721413,0.8941835379074206,0.903997530476709,1.2001676043193077
2006-01-31,0.269603018987773,0.537934221995753,0.2370630044780664,0.41164405097253604,0.5559698823687341
2006-02-28,0.2288657433952131,0.3672158155752914,0.2384638790262929,0.22707047753708415,0.2775999807205959
