,sm_smos,sm_smap,sm_tc,sm_gldas,sm_fldas
2001-09-30,,,0.1422371447928471,0.7992091923414164,4312.495363755289
2001-10-31,,,0.1284380848935153,0.8018335257841871,4461.135781265235
2001-11-30,,,0.5138933558524988,0.9520085397524491,6042.972884160625
2001-12-31,,,0.8688730486422588,1.3856102449741199,8055.728887476444
2002-01-31,,,0.9326762962365742,1.8195273147616429,9149.881178006442
2002-02-28,,,0.9080525073974212,1.7934536188252075,9090.273002710755
2002-03-31,,,0.8852559201207718,1.8601317993744293,9121.789922330197
2002-04-30,,,0.7288827280251484,1.706949217303811,8544.21432861402
2002-05-31,,,0.546782848684273,1.474728978117465,7537.4724955486545
2002-06-30,,,0.3549627842740705,1.1910648290561836,6202.802793842238
2002-07-31,,,0.2425986610163953,0.9545247174432349,5095.100464052508
2002-08-31,,,0.18814674941711057,0.8423680146712708,4531.140498113954
2002-09-30,,,0.15483598850770824,0.7977845194344416,4312.213781162152
2002-10-31,,,0.13225152578620236,0.7811303599005639,4354.728783673567
2002-11-30,,,0.29078338997187764,0.918501709314292,5649.866160649685
2002-12-31,,,0.8717254977861271,1.314901772483504,7194.0875886719705
2003-01-31,,,0.9215018526852519,1.8275545482877615,9082.505614409734
2003-02-28,,,0.9245823572196894,1.8259583411685782,9072.831681211781
2003-03-31,,,0.8946033847043012,1.811063796052028,9036.230902073581
2003-04-30,,,0.8819974659505695,1.9236307729741369,9014.646268918312
2003-05-31,,,0.6778191178294213,1.799048305262355,8589.8224365889
2003-06-30,,,0.4303355339956706,1.365359565360209,6760.981999849681
2003-07-31,,,0.27942280877236714,1.0557788948381908,5440.179411471968
2003-08-31,,,0.20995635803798593,0.9210011437692927,4813.1498452614505
2003-09-30,,,0.16886675261439998,0.8586975267383722,4557.872530098489
2003-10-31,,,0.14197126566610827,0.8226395725479771,4378.700071408723
2003-11-30,,,0.3102877933483671,0.864606448890135,5516.604816627636
2003-12-31,,,0.8383131024974307,1.2940308639259532,7383.687766548321
2004-01-31,,,0.8928290473345506,1.696223645461104,8591.839535019506
2004-02-29,,,0.9855937626858917,1.87776055492548,9123.65366595374
2004-03-31,,,0.8748339925799155,1.8567921157838807,8961.32797401899
2004-04-30,,,0.690057077887699,1.6029327779898561,7970.462700944163
2004-05-31,,,0.48627267536896,1.3205660687957093,6675.899887490438
2004-06-30,,,0.31962751510889414,1.0933108440898023,5708.057346483969
2004-07-31,,,0.22808170521539767,0.911695988359737,4855.332576437227
2004-08-31,,,0.18006785085680943,0.820720489929482,4410.3779759224335
2004-09-30,,,0.14970454362112,0.7885913568607015,4330.016188281522
2004-10-31,,,0.31168576141552945,0.8625184112708644,5028.883635279011
2004-11-30,,,0.41167865115949176,1.1190367053484849,6453.259009952492
2004-12-31,,,0.7738072220527435,1.3238504082399034,7107.825120585911
2005-01-31,,,0.9484467776042165,1.7294746682308488,8642.169913691261
2005-02-28,,,0.9639322453823248,1.7956307546137307,8758.154185858712
2005-03-31,,,0.9475771415684519,1.836338387106895,8993.495621661696
2005-04-30,,,0.8572217143826071,1.864001618276364,8907.820681405916
2005-05-31,,,0.7252292152789835,1.7971579134432576,8401.929160912005
2005-06-30,,,0.5123896593998306,1.5402984980799792,7074.548806831601
2005-07-31,,,0.3232359064853083,1.2024845662857175,5731.670017878773
2005-08-31,,,0.22906548024380236,0.9674818826927711,4875.300067199751
2005-09-30,,,0.18027677178458357,0.8745560046637151,4538.154670230463
2005-10-31,,,0.1552538303632565,0.8724285808121967,4780.4030615293
2005-11-30,,,0.27178110912512005,1.0038721124042493,5557.054704312869
2005-12-31,,,0.8993199687679999,1.347062342567834,7589.42645611252
2006-01-31,,,0.9727632147636707,1.991239257893953,9618.328860935231
2006-02-28,,,0.9784302893152377,1.9140829999865443,9355.037470564801
2006-03-31,,,0.9865850579425883,2.039805902977305,9761.29613433631
2006-04-30,,,0.9835658282080378,2.0682988998921283,9823.930588559902
2006-05-31,,,0.7127249309045459,1.6898437825280725,8435.96614739337
2006-06-30,,,0.4475188012923482,1.3637198292242663,6983.677757038414
2006-07-31,,,0.28499100738258826,1.0617789589612692,5535.240450337557
2006-08-31,,,0.2125201447755294,0.8982934511574097,4776.304587908274
2006-09-30,,,0.17110770202624004,0.8302618303910305,4480.719465914216
2006-10-31,,,0.14392355267162354,0.8196687308774926,4659.3286748894625
2006-11-30,,,0.22886043072752943,0.9490163307273628,5839.499815458336
2006-12-31,,,0.4483996063731953,1.1571266122892117,6937.6645978812185
2007-01-31,,,0.42883868998716235,1.3647407597203847,7410.312712853582
2007-02-28,,,0.653619132911134,1.5347699660660596,8085.386546354475
2007-03-31,,,0.5549221316656189,1.6151829279508587,8530.649744680997
2007-04-30,,,0.49923240274040476,1.456729283570533,7802.817537687568
2007-05-31,,,0.3674401913627106,1.264495788458185,6937.019838348713
2007-06-30,,,0.2580918716175059,1.0208061775084172,5732.970820079652
2007-07-31,,,0.19120059926046115,0.8697824512656471,4853.343115949859
2007-08-31,,,0.15473346374957178,0.8019313052816246,4404.628350578658
2007-09-30,,,0.13110826780069648,0.7848032573286512,4367.200164358174
2007-10-31,,,0.12719230214987295,0.8805155487311824,4969.1541169064585
2007-11-30,,,0.11986547441061647,0.9112705778175226,5308.011387182823
2007-12-31,,,0.3657909394359718,1.0297882618054284,6150.596151165019
2008-01-31,,,0.8205438771862589,1.438744803228086,8007.941093488707
2008-02-29,,,0.8665181828324896,1.6831408633123384,8826.810480140977
2008-03-31,,,0.7624015194834823,1.6524988084409282,8576.866926406976
