,r_tc,r_gldas,r_fldas,r_ecmwf
2001-09-30,0.002747503671360786,0.0032152586259472445,0.00157243241012097,5.817838513270359e-05
2001-10-31,0.005483140990741176,0.003775096630171712,0.009190858329464648,5.3528368937106234e-05
2001-11-30,0.023930568533784342,0.02331525944224528,0.03354076552149478,0.001476104526950677
2001-12-31,0.064840822608851,0.10817346461416966,0.07511290155449239,0.0027105268893586943
2002-01-31,0.04675488028923924,0.4140845379453608,0.08949866083627815,0.0025242178698574222
2002-02-28,0.0058789973451529405,0.12548919797861766,0.038241991534730374,0.0015860130740539063
2002-03-31,0.020772315184403912,0.1556495339281116,0.05389723782715614,0.001714480658619742
2002-04-30,0.0013373051168196074,0.03606680598403609,0.01275087133832907,0.0011838128026356474
2002-05-31,0.00428476011109804,0.009646212306391323,0.005318216849792891,0.000749044620452266
2002-06-30,0.0,0.003975736662283109,0.0006624398958114372,0.0003942661026985126
2002-07-31,0.0,0.003153316594821502,0.00042217066383429616,0.00019952900281035944
2002-08-31,0.0,0.002809598893499122,0.0003644672436422961,0.00010971087028011435
2002-09-30,0.0,0.00251204680939152,0.0003339326609194514,6.923004525377749e-05
2002-10-31,0.0,0.0024273443666102197,0.000702454613827791,5.0106859342100576e-05
2002-11-30,0.014033816548207852,0.008037436231051118,0.019577087647819645,0.0004193023113320556
2002-12-31,0.08281238394619606,0.196685150571454,0.11321143005015703,0.006611449062812048
2003-01-31,0.03850952465771765,0.27609163221032007,0.09368194340054696,0.002662778686213406
2003-02-28,0.017893534383545108,0.13532098944779136,0.06791386889551512,0.0025381275071260758
2003-03-31,0.014829147212082361,0.11593894262481383,0.054001677135509435,0.002564369921744761
2003-04-30,0.04337019463066272,0.22548969254917264,0.07251513369445757,0.002554559226430944
2003-05-31,0.0043156862789058845,0.10002272261101605,0.026120552542001067,0.0022073674537085777
2003-06-30,0.0,0.010753638024278894,0.0007718514949573212,0.0011304315550698342
2003-07-31,0.0,0.006629131452980105,0.00046584399465846114,0.0005093992652256214
2003-08-31,0.0035451359076588253,0.00593533961823441,0.000656708094393664,0.00025612151313178825
2003-09-30,0.0,0.004590964677348072,0.00041509912332305553,0.00014821997091718747
2003-10-31,0.0,0.004239884044962747,0.00043746619578632434,0.0001024913332289675
2003-11-30,0.012483449477458846,0.025348059510150563,0.021888529024426635,0.00014027155160690013
2003-12-31,0.05194705231343137,0.061900416180739125,0.07836687115516035,0.0026923332940136982
2004-01-31,0.028307557829450967,0.1742365271073127,0.05466246717106716,0.00239790871131163
2004-02-29,0.17047864927664308,0.4631976651379911,0.2045717041022485,0.006543210913150907
2004-03-31,0.004403642178125489,0.1581997588531308,0.04364520868226754,0.004397702796245159
2004-04-30,0.000733675325419608,0.017022976233511344,0.004181720354472331,0.0019348300162751195
2004-05-31,0.00019001488928627446,0.006706161226048005,0.0018820367296099668,0.0009702277047365654
2004-06-30,0.0,0.0036600254018794615,0.0005674357689083314,0.00047332214138575394
2004-07-31,0.0,0.00322389580877103,0.0004771073589312724,0.00023340314858505211
2004-08-31,0.0,0.002929067407731998,0.000478791908208316,0.00012631341048928172
2004-09-30,0.0,0.0027005680837738997,0.0007206806318110961,8.238936015506023e-05
2004-10-31,0.019783075453098056,0.021731364037551618,0.03557613646742335,0.0005002397182730426
2004-11-30,0.01167109723146668,0.006015458992129929,0.01700512525010284,0.00021654584994048044
2004-12-31,0.042873576935909805,0.07684611692537678,0.07600283322568838,0.0022773818348561423
2005-01-31,0.09003743880098435,0.17959389294265576,0.0734903031810923,0.0022194788669763392
2005-02-28,0.039117814528835344,0.1298980091054957,0.032974596584653924,0.0017947148616358848
2005-03-31,0.02763700320979214,0.17830793358087332,0.06524442409426386,0.002609124818811894
2005-04-30,0.007319022537168632,0.14697847104783504,0.027246968390343813,0.0028502396984991943
2005-05-31,0.00824745389721176,0.07924966891233069,0.02114945365887592,0.0026722148553885937
2005-06-30,0.003559092418678433,0.016465474915049537,0.0013754802247935975,0.0012553231264314684
2005-07-31,0.0,0.005485342016603474,0.0004923436976879775,0.0006331221153559107
2005-08-31,0.0,0.0040487858200114754,0.00039646556815751656,0.0003060034114716049
2005-09-30,0.0,0.0035288675664954783,0.0005709962147937482,0.0001767971789341454
2005-10-31,0.003484213002682355,0.004199605714095304,0.004193996510497873,0.00013244302675502324
2005-11-30,0.010051299166207846,0.014210911332951867,0.02673880672056156,0.0003657372052326366
2005-12-31,0.09259800741709019,0.21768552017358994,0.13756003657604787,0.011042540376544568
2006-01-31,0.10406144972085105,0.5726175717024087,0.19999826040156166,0.005772617228159153
2006-02-28,0.04845434377440002,0.1930379318933883,0.10647685776101237,0.005647488985633132
2006-03-31,0.31648859462552936,0.5904653449915687,0.33557153491379177,0.010477764237756489
2006-04-30,0.13024589454881572,0.6586055659530535,0.2947293976098655,0.017200375911535393
2006-05-31,0.0027800417765725515,0.04212450053477991,0.008246053723213319,0.005692621571433102
2006-06-30,0.0,0.007511386886145532,0.0008470759957410412,0.0020254677589779386
2006-07-31,0.0,0.004821332929617096,0.000550615657959918,0.0008027838897854706
2006-08-31,0.0,0.004065128493767816,0.00047497830532487967,0.000361987564883663
2006-09-30,0.0,0.00352350749856266,0.0004848853798824926,0.00020549620086127493
2006-10-31,1.805271130980392e-05,0.0038065168060758057,0.0009057909792161162,0.00014366592229057178
2006-11-30,0.009129951937356858,0.011625208315677054,0.024466216045616447,0.00028024451243234024
2006-12-31,0.014253088604670594,0.0277295282568863,0.04943521586077754,0.0011765314807687369
2007-01-31,0.0001470901943921568,0.009831941216176494,0.004527301860897905,0.00021622758102678036
2007-02-28,0.021818298501192164,0.10348752392126317,0.07532662450100741,0.0022823540286883944
2007-03-31,0.0004007341554392157,0.06904155173960917,0.013549651231801109,0.0009633476016489362
2007-04-30,0.007950680203756865,0.020479580842074335,0.014716399912297833,0.0007006598138453498
2007-05-31,0.0020577658325333322,0.006617941674392716,0.002421630000209434,0.00042247146315799357
2007-06-30,0.0,0.0036252114268818508,0.0008132693601840609,0.0002378881196573903
2007-07-31,2.0241007043137254e-05,0.002657942482829064,0.0004052920566073672,0.0001325007336616577
2007-08-31,0.0,0.0023625268388982237,0.00035315937243968963,7.660550250578163e-05
2007-09-30,0.002298602175537254,0.0025507325009853357,0.0010534517390262765,5.842458222321248e-05
