,ETkc,petsum,aetsum,aetimsum,petimsum,kc_mean,irr_frac
2001-01-01,0.0005650886311541162,0.0009635522521216424,0.0003403669913399265,0.0002959199890136719,0.0008427600219726563,0.46419415,0.0021187214611872148
2001-02-01,0.0004315403253453084,0.0005749546599577206,0.00025960516718218145,0.00022760999450683594,0.0005027399780273438,0.46882793,0.0021187214611872148
2001-03-01,0.0007883026169892284,0.001352132470676814,0.00047341711993874997,0.00041220000000000004,0.0011830500000000002,0.48799285,0.0021187214611872148
2001-04-01,0.0005033775867591321,0.001125727072552647,0.00029692032584151956,0.0002534399780273438,0.0009577799560546876,0.501553,0.0021187214611872148
2001-05-01,0.00030289731963521006,0.0023810412922897557,0.00017461202321017157,0.0001524600082397461,0.002083140087890625,0.5205452,0.0021187214611872148
2001-06-01,5.9839376799678055e-05,0.0017473251905371814,3.228672064656863e-05,2.583000068664551e-05,0.0015289200439453127,0.5317965,0.0021187214611872148
2001-07-01,8.412632335794438e-05,0.002575911416256593,4.8634404039877465e-05,3.6810001373291016e-05,0.0022583700439453127,0.53380275,0.0021187214611872148
2001-08-01,5.238081315703495e-05,0.0024473761813226715,2.746165438909314e-05,2.0520001029968262e-05,0.00214785,0.53385496,0.0021187214611872148
2001-09-01,8.743931193491583e-05,0.0019463940984594853,5.0350554091225495e-05,4.2390002059936523e-05,0.0017135100219726565,0.5328387,0.0021187214611872148
2001-10-01,0.00010569038819805261,0.0010791609206292647,6.311193988838235e-05,5.4270002746582035e-05,0.0009423899780273438,0.52743596,0.0021187214611872148
2001-11-01,0.00022557612532199606,0.000646059269136054,0.00014261165713914218,0.0001224,0.0005582700439453125,0.510236,0.0021187214611872148
2001-12-01,0.0003045920517830677,0.00027589284826406865,0.00018464875279480396,0.00016370999450683593,0.00024498001098632817,0.39572296,0.0021187214611872148
2002-01-01,0.0003303029362519541,0.00044603030968321086,0.00020858602589571079,0.00017964000549316406,0.00038718001098632816,0.46419415,0.0021187214611872148
2002-02-01,0.0005057761020570641,0.0008285256018544851,0.0003065599951635049,0.00026460000000000003,0.0007183800659179688,0.46882793,0.0021187214611872148
2002-03-01,0.0007316684372560197,0.0011722138344269608,0.00044339198979865196,0.00038295000000000007,0.001025459912109375,0.48799285,0.0021187214611872148
2002-04-01,0.0005861614998358151,0.00114445393508174,0.00035192897425274515,0.0003048300109863282,0.0010008,0.501553,0.0021187214611872148
2002-05-01,0.000480245768959523,0.0021115078514757596,0.0002803514292309804,0.0002463300109863282,0.0018477900878906253,0.5205452,0.0021187214611872148
2002-06-01,0.00014122889196115348,0.0025563016981667397,8.364424292303922e-05,6.795000000000001e-05,0.0022401,0.5317965,0.0021187214611872148
2002-07-01,6.31723420431448e-05,0.002574054804783824,3.349899028460784e-05,2.5469999313354495e-05,0.0022569299560546876,0.53380275,0.0021187214611872148
