,ETkc,petsum,aetsum,aetimsum,petimsum,kc_mean,irr_frac
2001-01-01,6.187421249999999e-05,0.00017832610417894607,4.937880309164215e-05,6.525e-05,0.00023373001098632817,0.39629146,0.0
2001-02-01,6.0981594476509094e-05,0.00010335355433904412,4.3941954748112755e-05,6.0390005493164066e-05,0.00014247000274658205,0.39905852,0.0
2001-03-01,0.00011571740950098037,0.0002853502997320343,9.004748610568629e-05,0.00011771998901367188,0.00036639000549316405,0.42504603,0.0
2001-04-01,0.00010633464049901963,0.00025160929906281864,8.12397742792157e-05,0.00011042999725341798,0.00033263997802734376,0.42879447,0.0
2001-05-01,8.12810025097847e-05,0.0005132132362794363,6.184989080889705e-05,8.4689998626709e-05,0.0006774300109863282,0.47386485,0.0
2001-06-01,2.0136532749509813e-05,0.0003703226218502696,1.468610436487745e-05,2.0790000343322754e-05,0.0004878899780273438,0.5241272,0.0
2001-07-01,2.8675417005872723e-05,0.0005316996949423039,2.1123458733627454e-05,2.9339998626708986e-05,0.0007005600219726563,0.53821087,0.0
2001-08-01,1.7870354940068724e-05,0.000507091301171397,1.3296776954264707e-05,1.845e-05,0.00066735,0.5384958,0.0
2001-09-01,2.0534107994127276e-05,0.00041460406909183827,1.576985135911765e-05,2.1510001373291016e-05,0.0005454,0.53849924,0.0
2001-10-01,2.0335320371818542e-05,0.00024347404204931375,1.603028800009804e-05,2.1150000000000002e-05,0.00032048997802734376,0.4898315,0.0
2001-11-01,3.4973775e-05,0.00014804978760742647,3.103374632529412e-05,3.6450000000000005e-05,0.00017855999450683594,0.42439118,0.0
2001-12-01,4.539408652153015e-05,6.299204017259805e-05,3.5765002970367646e-05,4.706999588012696e-05,8.252999725341797e-05,0.35502863,0.0
2002-01-01,4.636750648727417e-05,9.417117987406863e-05,3.648015681549019e-05,4.8150003433227537e-05,0.00012455999450683596,0.39629146,0.0
2002-02-01,7.475307750978469e-05,0.00015816959287147058,5.5165366790735294e-05,7.613999862670899e-05,0.00022130999450683595,0.39905852,0.0
2002-03-01,0.00012725606249999998,0.0002463099297793873,9.904924777928921e-05,0.00013230000000000002,0.0003257100219726563,0.42504603,0.0
2002-04-01,0.00012606847045497894,0.00024314902152264707,9.745162533882353e-05,0.00013032000274658205,0.00032166002197265626,0.42879447,0.0
2002-05-01,0.00013148061404600145,0.00043222663595507356,9.974752507843136e-05,0.00013500000000000003,0.0005717699890136719,0.47386485,0.0
2002-06-01,5.0164987499999994e-05,0.0005477248295741912,3.734948419223039e-05,5.13e-05,0.0007237800109863281,0.5241272,0.0
2002-07-01,2.4852285369372367e-05,0.0005372161155145833,1.8568146260710783e-05,2.5290000343322755e-05,0.0007093800109863282,0.53821087,0.0
2002-08-01,1.4047222380137445e-05,0.000522837009298848,1.068528208122549e-05,1.4400000000000001e-05,0.0006905700439453126,0.5384958,0.0
2002-09-01,1.734709512720108e-05,0.00044409417726308823,1.295170585637255e-05,1.773000068664551e-05,0.0005841899780273438,0.53849924,0.0
2002-10-01,1.8197392128181456e-05,0.00024094418919514706,1.4149054606862746e-05,1.8900000000000002e-05,0.0003173400054931641,0.4898315,0.0
2002-11-01,1.4678212377691268e-05,0.00010562028499191177,1.1735286802205883e-05,1.4490000343322754e-05,0.00013337999725341796,0.42439118,0.0
2002-12-01,3.535339524950981e-05,4.8667545814999995e-05,2.5847418090588238e-05,3.653999862670899e-05,6.876000137329102e-05,0.35502863,0.0
2003-01-01,1.2606975061154364e-05,2.5398678560882356e-05,8.795645408235295e-06,1.17e-05,3.44699993133545e-05,0.39629146,0.0
2003-02-01,7.3782225e-05,0.0001678561324575245,5.908616007735294e-05,7.515e-05,0.00021402000274658206,0.39905852,0.0
2003-03-01,0.00010936134147748949,0.0002223965931960049,9.496148196262255e-05,0.00011960999450683595,0.00028196998901367193,0.42504603,0.0
2003-04-01,0.0001020369805234909,0.00018374646520438726,8.224233821720589e-05,0.00010296000137329102,0.00023120999450683595,0.42879447,0.0
2003-05-01,0.00016807034741191866,0.0004278430263953431,0.00012966257654960784,0.00017523001098632815,0.0005657399780273438,0.47386485,0.0
2003-06-01,8.507848352251052e-05,0.000523290882581054,6.548784526223039e-05,8.784000549316407e-05,0.00069165,0.5241272,0.0
2003-07-01,2.569232238013744e-05,0.0005606925249048529,1.8947865842794116e-05,2.61e-05,0.0007387200439453126,0.53821087,0.0
2003-08-01,2.1894840119862557e-05,0.0005103273469859558,1.747455823009804e-05,2.295e-05,0.0006713100219726563,0.5384958,0.0
2003-09-01,1.4829547869372368e-05,0.00044193445487551475,1.1928815000196079e-05,1.5390000343322755e-05,0.000582569989013672,0.53849924,0.0
2003-10-01,8.423460002446174e-06,0.0003017442694791176,6.888319694411767e-06,8.909999656677248e-06,0.0003965400329589844,0.4898315,0.0
2003-11-01,3.7496452864480015e-05,0.00012884827943058824,2.846469425284314e-05,3.896999931335449e-05,0.00017567999725341798,0.42439118,0.0
2003-12-01,3.04414189591527e-05,3.9324808660514715e-05,1.941415623522059e-05,2.7359999656677247e-05,5.516999931335449e-05,0.35502863,0.0
2004-01-01,5.303522102251053e-05,0.00010661300379125,4.5479091317892155e-05,5.4989998626708986e-05,0.00013059000549316406,0.39629146,0.0
2004-02-01,5.234395523972511e-05,0.00011715698456568628,5.301564535247549e-05,5.940000000000001e-05,0.00013526998901367189,0.39905852,0.0
2004-03-01,0.00013018913996086122,0.00030644572523475487,0.00010421811901926468,0.00013599000549316406,0.00040563001098632814,0.42504603,0.0
2004-04-01,0.00011001156404600142,0.0003471539484357598,8.005707744517158e-05,0.00010935,0.0004670100219726563,0.42879447,0.0
2004-05-01,7.675890872797966e-05,0.00032309501535107845,6.125868965379901e-05,8.037000274658203e-05,0.00042687001647949223,0.47386485,0.0
2004-06-01,5.010727597846985e-05,0.0005295482151838725,3.767814224159314e-05,5.148000068664551e-05,0.0006970500000000001,0.5241272,0.0
2004-07-01,2.7217214386010166e-05,0.0005359929234673775,2.17950660122549e-05,2.8889998626708985e-05,0.0007093800109863282,0.53821087,0.0
2004-08-01,1.6341615187132357e-05,0.0005140738204937255,1.3866950131568628e-05,1.773000068664551e-05,0.0006841799560546875,0.5384958,0.0
2004-09-01,1.9249042684686184e-05,0.00042953623318174025,1.5595314738529414e-05,2.0520001029968262e-05,0.0005697,0.53849924,0.0
2004-10-01,5.298007451076508e-05,0.0002452372444506863,4.136421928237746e-05,5.525999794006348e-05,0.0003246300109863281,0.4898315,0.0
2004-11-01,4.268031725049019e-05,0.00012271286483075982,3.356901999563725e-05,4.446000137329102e-05,0.00016145999450683593,0.42439118,0.0
2004-12-01,4.3067632480430604e-05,0.00011180881486250001,3.6425966284509795e-05,4.48199993133545e-05,0.00014274000549316406,0.35502863,0.0
2005-01-01,2.9983567005872725e-05,5.4390225841617644e-05,2.3510733730637253e-05,3.113999862670899e-05,7.1189998626709e-05,0.39629146,0.0
2005-02-01,9.177056954011918e-05,0.00014028539774566177,7.065722926848039e-05,9.332999725341797e-05,0.00018377999725341796,0.39905852,0.0
2005-03-01,0.00014941510047454838,0.0002511016260462255,0.00011470341844009804,0.0001557,0.0003317400054931641,0.42504603,0.0
2005-04-01,0.00013393916704502104,0.00024296309004139707,0.00010242783148686275,0.00013967999725341798,0.0003213900054931641,0.42879447,0.0
2005-05-01,0.00015602509659004213,0.0003840193310098529,0.00012074573899745097,0.00015830999450683594,0.0004930199890136719,0.47386485,0.0
2005-06-01,0.00010572545202054977,0.0004955093110229902,8.002231189088236e-05,0.0001089,0.0006551100219726563,0.5241272,0.0
2005-07-01,3.4097827375245094e-05,0.0005780702768551471,2.4426103370000005e-05,3.438000068664551e-05,0.0007627499450683595,0.53821087,0.0
2005-08-01,1.894380792685747e-05,0.000524753404209951,1.2947334008774508e-05,1.8630000686645507e-05,0.0006904800109863282,0.5384958,0.0
2005-09-01,2.523190561888218e-05,0.0004197663268577696,1.810152770362745e-05,2.5380000686645508e-05,0.0005502600219726562,0.53849924,0.0
2005-10-01,2.62181474902153e-05,0.0002352092196006618,2.011558552693628e-05,2.690999965667725e-05,0.00030915,0.4898315,0.0
2005-11-01,4.3588325773000715e-05,0.0001845014908682598,3.102401625098039e-05,4.544999656677246e-05,0.0002606400054931641,0.42439118,0.0
2005-12-01,2.3136300244617464e-05,4.5647156897352944e-05,1.7248871641862744e-05,2.6819999313354494e-05,7.164000549316407e-05,0.35502863,0.0
2006-01-01,6.727610348825456e-05,9.990430839296569e-05,5.218530582313725e-05,6.957000274658203e-05,0.00013293001098632813,0.39629146,0.0
2006-02-01,6.415962848825454e-05,0.00015929158421362747,5.632705294779412e-05,7.047000274658204e-05,0.00020546998901367188,0.39905852,0.0
2006-03-01,7.713211549901962e-05,0.00010481561089313726,5.80622179667402e-05,7.802999725341797e-05,0.00014040000000000002,0.42504603,0.0
2006-04-01,0.00013712874797945022,0.00022606480328985295,0.0001082658761510049,0.00014355000000000002,0.00029915999450683595,0.42879447,0.0
2006-05-01,0.00017301566641387937,0.0004374223672737745,0.0001365549321709314,0.0001811700164794922,0.0005791500000000001,0.47386485,0.0
2006-06-01,8.43115480430603e-05,0.0005051598213091667,6.625085224122549e-05,8.7389998626709e-05,0.0006688800109863282,0.5241272,0.0
2006-07-01,2.4645802442514897e-05,0.0005597737015397305,1.8148345131691177e-05,2.4660001373291015e-05,0.0007397100219726563,0.53821087,0.0
2006-08-01,2.2138514875245094e-05,0.0005037092066631862,1.6264480158897057e-05,2.268000068664551e-05,0.0006651899780273437,0.5384958,0.0
2006-09-01,2.8295797380137443e-05,0.0003962833063943383,2.1991374157230392e-05,2.925e-05,0.0005237100219726563,0.53849924,0.0
2006-10-01,1.6700715119862557e-05,0.00025521684432019606,1.2891598683210785e-05,1.7100000000000002e-05,0.0003368699890136719,0.4898315,0.0
2006-11-01,3.6202409500980376e-05,0.00013064537129995097,3.45800051797549e-05,3.986999931335449e-05,0.00014480999450683596,0.42439118,0.0
2006-12-01,4.232634700098037e-05,0.00011296410418144609,3.5352856264754904e-05,4.5269999313354495e-05,0.00013805999450683593,0.35502863,0.0
2007-01-01,4.5246599510765074e-05,0.00013487807984593139,3.943214513958333e-05,4.8510001373291015e-05,0.00017126998901367187,0.39629146,0.0
2007-02-01,7.428753072896004e-05,0.0001468823338579412,5.9433695439289216e-05,7.523999862670898e-05,0.00018648001098632813,0.39905852,0.0
2007-03-01,0.00011753214504404067,0.00030375037087745097,9.054272838561274e-05,0.00012185999450683595,0.0004016699890136719,0.42504603,0.0
2007-04-01,0.00010454427095890044,0.0002618162284598775,8.208759511644607e-05,0.00010935,0.00034730999450683595,0.42879447,0.0
2007-05-01,0.00010794802402153016,0.00047436866722894605,8.427385571365197e-05,0.00011411999588012696,0.0006266699890136719,0.47386485,0.0
2007-06-01,4.252385237524509e-05,0.0005474768208578433,3.1711863609534324e-05,4.3379997253417967e-05,0.0007217100219726563,0.5241272,0.0
2007-07-01,2.6642654261255263e-05,0.0005388477256284068,1.948323640105392e-05,2.6369999313354493e-05,0.0007104600219726562,0.53821087,0.0
