,ORO,TMT,TAB,THD,TFR
2002-11-01,1.51401529032,0.05438906712,0.02481638412,0.01603770696,0.013533742560000001
2002-12-01,2.00358596928,0.06347858124,0.03335576616,0.01620052632,0.01392228876
2003-01-01,2.65631274828,0.07294677372,0.04261920096,0.0162757686,0.01405180416
2003-02-01,2.78729598948,0.06915382272,0.0396995538,0.01609321356,0.01336105536
2003-03-01,3.24976094544,0.07409884404,0.04485056628,0.01594766292,0.01330061484
2003-04-01,3.79102183728,0.08487699228,0.05487875868,0.01617585672,0.01382237688
2003-05-01,4.33300061448,0.08620545024,0.05748263496,0.01563189204,0.01309092324
2003-06-01,4.26951339888,0.06664122396,0.03751382724,0.0162079272,0.01291946952
2003-07-01,3.51593112768,0.07041197232,0.041398055760000003,0.01610184792,0.01291206864
2003-08-01,3.03213066816,0.07653866748,0.04691417832,0.01610554836,0.0135189408
2003-09-01,2.81697351828,0.06939311784,,0.01590942504,0.01357938132
2003-10-01,2.69637987912,0.05234149032,0.02435752956,0.01544193612,0.01254202464
2003-11-01,2.55612086832,0.06494025504,0.03577585392,0.0159242268,0.01324017432
2003-12-01,2.77310603556,0.0588740004,0.03007594284,0.01598343384,0.01281462372
2004-01-01,3.033034809,0.0853814856,0.05714219448,0.01556528412,0.012674007
2004-02-01,3.5313360594,0.07353514368,0.04493814336,0.01612898448,0.01246801584
2004-03-01,3.7818620148,0.08980721184,0.06053056404,0.01577990964,0.01349673816
2004-04-01,3.76060792092,0.08646941496,0.05840897844,0.01559242068,0.01246801584
2004-05-01,3.7520241336,0.06524369112,0.03569814468,0.01592052636,0.01362502008
2004-06-01,3.4015739634,0.0720722364,0.0427894212,0.01585391844,0.01342889676
2004-07-01,2.79428118672,0.05943153336,0.030471889920000002,0.01606977744,0.01288863252
2004-08-01,2.32629517428,0.0765867732,0.0467365572,0.01605744264,0.01379153988
2004-09-01,2.1622657704,0.07420245636,0.04476422268,0.01589709024,0.01354114344
2004-10-01,2.05453239372,0.0622414008,0.03208404828,0.01610554836,0.01405180416
2004-11-01,1.97850438696,0.07287029796,0.0439858968,0.0157638744,0.01312052676
2004-12-01,2.02809891732,0.0927515286,0.0623339118,0.01634237652,0.01407524028
2005-01-01,2.23840725732,0.08405302764,0.05407082928,0.016220262,0.01376193636
2005-02-01,2.49591717648,0.06971505612,0.04035823212,0.01594396248,0.01341286152
2005-03-01,3.03137084448,0.07983329256,0.05135470632,0.01560475548,0.01287383076
2005-04-01,3.50540954328,0.08689496556,0.05796985956,0.01575277308,0.01317233292
2005-05-01,4.31111374536,0.07132228056,0.04160651388,0.01627946904,0.01343629764
2005-06-01,4.29316661136,0.07437391008,0.044374443,0.01621532808,0.013784139
2005-07-01,4.01616030732,0.07691611236,0.047983605480000004,0.01590942504,0.01302308184
2005-08-01,3.74031100752,0.08806183764,0.05885056428,0.01595629728,0.01325497608
2005-09-01,3.5491475106,0.08565655164,0.0565118862,0.01589709024,0.0132475752
2005-10-01,3.37989678588,0.06782413128,0.03831682272,0.01610184792,0.01340546064
2005-11-01,3.22653821748,0.07812985668,0.04865831904,0.01605867612,0.01341286152
2005-12-01,3.607373934,0.06700386708,0.03851787996,0.01629550428,0.01219048284
