,outflow_km3
2000-01-01,1.0806027283584
2000-02-01,2.9200310211456
2000-03-01,2.5527853449216
2000-04-01,1.1297176516224001
2000-05-01,0.9248488883711998
2000-06-01,0.7713945197913601
2000-07-01,0.86882810923008
2000-08-01,0.7154407155456001
2000-09-01,0.57798590530176
2000-10-01,0.44933457297024004
2000-11-01,0.44655883564031995
2000-12-01,0.480358832832
2001-01-01,0.68400716465664
2001-02-01,1.0059629283072
2001-03-01,1.12303504539648
2001-04-01,0.59624772676992
2001-05-01,0.5446919406528
2001-06-01,0.7399460855923201
2001-07-01,0.9532015940736
2001-08-01,0.7076269777536
2001-09-01,0.6003778453171199
2001-10-01,0.37566218807423996
2001-11-01,0.5116733172403201
2001-12-01,1.3736551038336
2002-01-01,1.7370311194368
2002-02-01,0.914951487168
2002-03-01,0.9813310501248
2002-04-01,0.6297128494848
2002-05-01,0.6855996788352
2002-06-01,0.7397749275264001
2002-07-01,0.8581716592127999
2002-08-01,0.7012271544192
2002-09-01,0.52110933583104
2002-10-01,0.42281995606272
2002-11-01,0.43590982727808
2002-12-01,1.5730914589056
2003-01-01,2.58411471264
2003-02-01,1.5245718680447997
2003-03-01,1.1598563545344
2003-04-01,1.2383658152064
2003-05-01,2.1092627045376
2003-06-01,1.1126018450304
2003-07-01,0.8762548809600001
2003-08-01,0.7338960200447999
2003-09-01,0.5572683376704
2003-10-01,0.44320264921728003
2003-11-01,0.44193012620544
2003-12-01,1.502470152576
2004-01-01,1.5844027745664002
2004-02-01,2.3487351637248004
2004-03-01,2.0720544293376
2004-04-01,0.9455366893824
2004-05-01,0.740816759232
2004-06-01,0.8589083830617601
2004-07-01,0.9131059567180799
2004-08-01,0.7122780121536
2004-09-01,0.65144992385664
2004-10-01,0.5485541596185599
2004-11-01,0.4030028286912
2004-12-01,0.8713508302886399
2005-01-01,1.4102680466303998
2005-02-01,0.9881029562112
2005-03-01,1.2768391717632
2005-04-01,0.9349695392255999
2005-05-01,2.277518524992
2005-06-01,1.1321733977856
2005-07-01,0.9357137047296
2005-08-01,0.65070575835264
2005-09-01,0.6140704905907199
2005-10-01,0.56596019075712
2005-11-01,0.51752245810176
2005-12-01,1.9567087762175999
2006-01-01,3.507252020352
2006-02-01,2.1269738435328
2006-03-01,3.3882599562624
2006-04-01,3.974587956864
2006-05-01,2.110453369344
2006-06-01,1.1831487348096
2006-07-01,0.904533170112
2006-08-01,0.80752375501056
2006-09-01,0.6864852357849599
2006-10-01,0.4945351856832
2006-11-01,0.46526715641087996
2006-12-01,0.7561986601996801
2007-01-01,0.6412474147967999
2007-02-01,1.087969966848
2007-03-01,0.7924618452096
2007-04-01,0.6213261042547199
2007-05-01,0.5768770987008001
2007-06-01,0.64159717258368
2007-07-01,0.8428492914854399
2007-08-01,0.6961296207168
2007-09-01,0.6096947974272
2007-10-01,0.47086328100096
2007-11-01,0.43526984494464
2007-12-01,0.49734813128832
2008-01-01,1.0870025516928
2008-02-01,1.2516119611776
2008-03-01,0.67335071463936
2008-04-01,0.5636532776947201
2008-05-01,0.59331571468416
2008-06-01,0.6161839206220799
2008-07-01,0.72998170949376
2008-08-01,0.6107738374080001
2008-09-01,0.52797798343296
2008-10-01,0.43140762597888
2008-11-01,0.47253765338496
2008-12-01,0.4203046766592
2009-01-01,0.4299788282112
2009-02-01,1.1187040021632
2009-03-01,1.0783702318464001
2009-04-01,0.6160946207615999
2009-05-01,0.8811663732864001
2009-06-01,0.6780836072448
2009-07-01,0.7492258294272
2009-08-01,0.7307705249280001
2009-09-01,0.5468500206144
2009-10-01,0.42624311738112
2009-11-01,0.38174946189696
2009-12-01,0.38345360090112
2010-01-01,1.3147171959168
2010-02-01,1.3895058290688
2010-03-01,0.9606432491136
2010-04-01,1.0549290184703999
2010-05-01,0.8999937605375999
2010-06-01,1.1096251830144
2010-07-01,0.8054847415296
2010-08-01,0.65858647104
2010-09-01,0.54769836928896
2010-10-01,0.5172843251404801
2010-11-01,0.5478546440448
2010-12-01,1.8755947362816001
2011-01-01,1.4067704687616
2011-02-01,1.0512081909503999
2011-03-01,2.7543053634048
2011-04-01,2.1550288830336
2011-05-01,1.2773600876159998
2011-06-01,1.6322526164736
2011-07-01,1.0375155456768002
2011-08-01,0.8420976843263999
2011-09-01,0.72877616137728
2011-10-01,0.64617379043328
2011-11-01,0.5436724339123199
2011-12-01,0.47396645115263997
2012-01-01,0.64646401497984
2012-02-01,0.53772655153536
2012-03-01,1.0203997390847999
2012-04-01,1.2262359174912
2012-05-01,0.7149942162431999
2012-06-01,0.67905846405504
2012-07-01,0.865836563904
2012-08-01,0.7776529516799999
2012-09-01,0.58606010102016
2012-10-01,0.45238565153664
2012-11-01,0.5122463246784
2012-12-01,2.0236092550272
2013-01-01,0.8927009385983999
2013-02-01,0.683143932672
2013-03-01,0.6075367174655999
2013-04-01,0.621192154464
2013-05-01,0.7016736537216001
2013-06-01,0.73827171320832
2013-07-01,0.8001267499008
2013-08-01,0.6625603148313599
2013-09-01,0.54411893321472
2013-10-01,0.40048754928768004
2013-11-01,0.41850379613952
2013-12-01,0.37203066041472
2014-01-01,0.3241957018176
2014-02-01,0.511613784
2014-03-01,0.8243865453312
2014-04-01,0.52922073982464
2014-05-01,0.40607623222272005
2014-06-01,0.51902567241984
2014-07-01,0.52881889045248
2014-08-01,0.4907399416128
2014-09-01,0.41128539075071996
2014-10-01,0.35364233081088003
2014-11-01,0.43463730426624
2014-12-01,1.6396942715136
2015-01-01,0.5593371177715201
2015-02-01,0.92400053969664
2015-03-01,0.41830287145344
