,inflow_km3
2000-01-01,0.1058646869328384
2000-02-01,0.24176448893952002
2000-03-01,0.17803415517695997
2000-04-01,0.123149716760448
2000-05-01,0.09564015057407999
2000-06-01,0.07890386838912
2000-07-01,0.06952738303872
2000-08-01,0.06640188792192
2000-09-01,0.0656519923435392
2000-10-01,0.066987546173568
2000-11-01,0.065556515909376
2000-12-01,0.06645249117619201
2001-01-01,0.0731747614234752
2001-02-01,0.10851421379328
2001-03-01,0.11697537557376
2001-04-01,0.09528295113216
2001-05-01,0.08048894091264
2001-06-01,0.06956459131392
2001-07-01,0.07049479819391999
2001-08-01,0.0651888981504
2001-09-01,0.0607836616163712
2001-10-01,0.060525957102336006
2001-11-01,0.077011455512448
2001-12-01,0.12393257887065598
2002-01-01,0.1324751523572736
2002-02-01,0.09792473867135999
2002-03-01,0.11440056292992
2002-04-01,0.10750959036287999
2002-05-01,0.0806675406336
2002-06-01,0.07154407155456
2002-07-01,0.07003341558144
2002-08-01,0.07487049135744
2002-09-01,0.06066437188608
2002-10-01,0.059653795131648
2002-11-01,0.066737506564224
2002-12-01,0.188625118629888
2003-01-01,0.18331066068307197
2003-02-01,0.11751861639168001
2003-03-01,0.14779871074944
2003-04-01,0.18813248106623998
2003-05-01,0.172022042070144
2003-06-01,0.0932253335136
2003-07-01,0.07592720637312
2003-08-01,0.07412632585344
2003-09-01,0.06418501888550399
2003-10-01,0.0614805726108672
2003-11-01,0.06620096323584
2003-12-01,0.11812883210496
2004-01-01,0.1236666141195264
2004-02-01,0.24849174509568
2004-03-01,0.16046440762751998
2004-04-01,0.112274482084992
2004-05-01,0.09487366010496
2004-06-01,0.07989360850944
2004-07-01,0.07423795067904
2004-08-01,0.0711050139072
2004-09-01,0.0632743091417088
2004-10-01,0.06752557783296001
2004-11-01,0.066518721906048
2004-12-01,0.09271037098483201
2005-01-01,0.10986859501056001
2005-02-01,0.09810333839232
2005-03-01,0.13591438765056
2005-04-01,0.12199105107072
2005-05-01,0.15864120214271998
2005-06-01,0.09617594973696
2005-07-01,0.08414279353727999
2005-08-01,0.0719235959616
2005-09-01,0.0636952835673216
2005-10-01,0.06441496602624
2005-11-01,0.076179478478976
2005-12-01,0.704100377430144
2006-01-01,0.7236322661639808
2006-02-01,0.21929813237376
2006-03-01,0.6066437188608
2006-04-01,0.7236265360896
2006-05-01,0.17795229697152
2006-06-01,0.10530686047104
2006-07-01,0.08462650111488
2006-08-01,0.07667881353216
2006-09-01,0.072802455421824
2006-10-01,0.07178964617087999
2006-11-01,0.078807871039104
2006-12-01,0.094543994786688
2007-01-01,0.07874684946777599
2007-02-01,0.12555560383488001
2007-03-01,0.10154882467583999
2007-04-01,0.08620413198336
2007-05-01,0.07955873403264
2007-06-01,0.071998012512
2007-07-01,0.07615789767936
2007-08-01,0.06750325286784
2007-09-01,0.061989730648704
2007-10-01,0.06315732632448
2007-11-01,0.063155093827968
2007-12-01,0.06911585951500801
2008-01-01,0.10363620891455999
2008-02-01,0.10610311756032
2008-03-01,0.09218722263552001
2008-04-01,0.09307277958528001
2008-05-01,0.08852444002483201
2008-06-01,0.07620254760959999
2008-07-01,0.06807774863692799
2008-08-01,0.07453710521164798
2008-09-01,0.0683894051500032
2008-10-01,0.06346987583615998
2008-11-01,0.066954802891392
2008-12-01,0.065413636132608
2009-01-01,0.07096667354000641
2009-02-01,0.15412411753344
2009-03-01,0.16212389670144
2009-04-01,0.09015192998208
2009-05-01,0.101714773583232
2009-06-01,0.082687205811456
2009-07-01,0.07178964617087999
2009-08-01,0.065377916188416
2009-09-01,0.06240311458617599
2009-10-01,0.0650355256400256
2009-11-01,0.077179636916352
2009-12-01,0.072041174111232
2010-01-01,0.140521516285824
2010-02-01,0.13511813056128
2010-03-01,0.12105340253567998
2010-04-01,0.15099862241664
2010-05-01,0.13015454664960002
2010-06-01,0.103832668607616
2010-07-01,0.0787327103232
2010-08-01,0.07100083073663999
2010-09-01,0.069068232922752
2010-10-01,0.0705259787285376
2010-11-01,0.073679082385536
2010-12-01,0.160459942634496
2011-01-01,0.10601999427352321
2011-02-01,0.13276656756864
2011-03-01,0.6680373729408
2011-04-01,0.2533139375616
2011-05-01,0.17414216959104
2011-06-01,0.164663733566592
2011-07-01,0.0957741003648
2011-08-01,0.08198471357567999
2011-09-01,0.074326506374016
2011-10-01,0.07577093161728
2011-11-01,0.076881970714752
2011-12-01,0.074037770158464
2012-01-01,0.083339838958464
2012-02-01,0.07376168475648
2012-03-01,0.15428039228927998
2012-04-01,0.14524622307072
2012-05-01,0.098950942901376
2012-06-01,0.18621402239692797
2012-07-01,0.11145887669260801
2012-08-01,0.09225047670336
2012-09-01,0.064632262353408
2012-10-01,0.06390149182848
2012-11-01,0.128739143860992
2012-12-01,0.317626208748288
2013-01-01,0.185682688227072
2013-02-01,0.15944490088704
2013-03-01,0.19101240156672
2013-04-01,0.15466661418585598
2013-05-01,0.10493477771904
2013-06-01,0.12033156199679998
2013-07-01,0.20623802777855998
2013-08-01,0.180271116681984
2013-09-01,0.09016904578867199
2013-10-01,0.093892105805184
2013-11-01,0.09346569897139201
2013-12-01,0.091890300599424
2014-01-01,0.089718825658752
2014-02-01,0.10273948948223999
2014-03-01,0.13057127933184
2014-04-01,0.09891447879168
2014-05-01,0.089494087676544
2014-06-01,0.10180109678169601
2014-07-01,0.12949223935103998
2014-08-01,0.118961553303936
2014-09-01,0.082536140214144
2014-10-01,0.082857619711872
2014-11-01,0.08524043765568
2014-12-01,0.16549496643456002
2015-01-01,0.09281976331392
