,outflow_km3
2000-01-01,0.1228617247104
2000-02-01,0.4330299067776
2000-03-01,0.4296811620096
2000-04-01,0.21513824720639999
2000-05-01,0.1271034680832
2000-06-01,0.07135803017856
2000-07-01,0.06289686839808001
2000-08-01,0.07836062757119999
2000-09-01,0.07128361362815999
2000-10-01,0.05820118406784
2000-11-01,0.04776054204671999
2000-12-01,0.051793919078399996
2001-01-01,0.061587137111040004
2001-02-01,0.07650021381120001
2001-03-01,0.06408753320448
2001-04-01,0.05977881493631999
2001-05-01,0.022511006495999998
2001-06-01,0.01966829427072
2001-07-01,0.1018762574976
2001-08-01,0.094509019008
2001-09-01,0.03883055599872
2001-10-01,0.03208097487744
2001-11-01,0.033026065067520004
2001-12-01,0.0773187958656
2002-01-01,0.1474936028928
2002-02-01,0.133577707968
2002-03-01,0.2059105949568
2002-04-01,0.1617815805696
2002-05-01,0.1218943095552
2002-06-01,0.0962205996672
2002-07-01,0.1065645001728
2002-08-01,0.0902672756352
2002-09-01,0.03457392931584
2002-10-01,0.03414231332352
2002-11-01,0.03592086887808
2002-12-01,0.1316428776576
2003-01-01,0.15069351456
2003-02-01,0.17167898177279997
2003-03-01,0.1805345512704
2003-04-01,0.1980224406144
2003-05-01,0.3865195627776
2003-06-01,0.2382073778304
2003-07-01,0.129856880448
2003-08-01,0.129484797696
2003-09-01,0.0412639771968
2003-10-01,0.04470202182528
2003-11-01,0.04231325055744
2003-12-01,0.10790399808
2004-01-01,0.17346497898240001
2004-02-01,0.2680484145408
2004-03-01,0.22205898639360003
2004-04-01,0.1254663039744
2004-05-01,0.1180246489344
2004-06-01,0.07158127982976
2004-07-01,0.07368726820608
2004-08-01,0.0699143491008
2004-09-01,0.03825754856064
2004-10-01,0.044382030658559994
2004-11-01,0.040370978592
2004-12-01,0.06839625147264
2005-01-01,0.1139317386624
2005-02-01,0.08319770334719999
2005-03-01,0.1650559087872
2005-04-01,0.1759207251456
2005-05-01,0.654493560768
2005-06-01,0.2361981309696
2005-07-01,0.12531747087359998
2005-08-01,0.06988458248064
2005-09-01,0.042030467665919995
2005-10-01,0.04645825241471999
2005-11-01,0.06373033376256
2005-12-01,0.5837234213376
2006-01-01,0.8810919567359999
2006-02-01,0.3945565502208
2006-03-01,0.5998718127744
2006-04-01,1.0284367265280001
2006-05-01,0.7449096695040001
2006-06-01,0.22764022767359998
2006-07-01,0.123159390912
2006-08-01,0.05666076147456
2006-09-01,0.035563669436159996
2006-10-01,0.0388082310336
2006-11-01,0.03960448812288
2006-12-01,0.055864504385280005
2007-01-01,0.0938392700544
2007-02-01,0.188273872512
2007-03-01,0.1353637051776
2007-04-01,0.06922971683712
2007-05-01,0.076649046912
2007-06-01,0.050580929306880004
2007-07-01,0.054033857245440006
2007-08-01,0.0557752045248
2007-09-01,0.0507520873728
2007-10-01,0.05107952019456
2007-11-01,0.050982778679040004
2007-12-01,0.055537071563519995
2008-01-01,0.1106574104448
2008-02-01,0.1308987121536
2008-03-01,0.06819532678656
2008-04-01,0.05910906598271999
2008-05-01,0.07113478052736
2008-06-01,0.04444156389888001
2008-07-01,0.06432566616575999
2008-08-01,0.065672605728
2008-09-01,0.04627965269376
2008-10-01,0.042506733588480006
2008-11-01,0.04151699346816
2008-12-01,0.042194184076800006
2009-01-01,0.043756931635199996
2009-02-01,0.1088714132352
2009-03-01,0.12881504874240002
2009-04-01,0.1092434959872
2009-05-01,0.2802527288064
2009-06-01,0.1306754625024
2009-07-01,0.12464772192
2009-08-01,0.1300801300992
2009-09-01,0.058082117587200006
2009-10-01,0.04612337793792
2009-11-01,0.04151699346816
2009-12-01,0.04322113247231999
2010-01-01,0.0905649418368
2010-02-01,0.0954020176128
2010-03-01,0.1041087540096
2010-04-01,0.1418379450624
2010-05-01,0.1666186563456
2010-06-01,0.2999731146624
2010-07-01,0.1937062806912
2010-08-01,0.1396798651008
2010-09-01,0.055879387695359994
2010-10-01,0.05887837467648
2010-11-01,0.049710255667200005
2010-12-01,0.44530863759359995
2011-01-01,0.25777893058560003
2011-02-01,0.2512302741504
2011-03-01,0.6713861177088
2011-04-01,0.4925631470976
2011-05-01,0.47514967430399996
2011-06-01,0.5867000833536
2011-07-01,0.3014614456704
2011-08-01,0.18790178976
2011-09-01,0.04987397207808
2011-10-01,0.05404129890048
2011-11-01,0.04270021661952
2011-12-01,0.044657371895039995
2012-01-01,0.053364108291840004
2012-02-01,0.05215856017536
2012-03-01,0.2598625939968
2012-04-01,0.3503531192832
2012-05-01,0.16929765215999998
2012-06-01,0.07412632585344
2012-07-01,0.101578591296
2012-08-01,0.100090260288
2012-09-01,0.05852117523456
2012-10-01,0.053364108291840004
2012-11-01,0.0688725173952
2012-12-01,0.3693293396352
2013-01-01,0.151437680064
2013-02-01,0.10968999528960001
2013-03-01,0.1038855043584
2013-04-01,0.0729654276672
2013-05-01,0.0771699627648
2013-06-01,0.061006688017919995
2013-07-01,0.0836442026496
2013-08-01,0.07273473636096
2013-09-01,0.042774633169919994
2013-10-01,0.04261835841408
2013-11-01,0.04433738072832
2013-12-01,0.03916543047552
2014-01-01,0.039775646188799994
2014-02-01,0.082602370944
2014-03-01,0.07575604830720001
2014-04-01,0.05176415245824
2014-05-01,0.044560630379519996
2014-06-01,0.040973752650239996
2014-07-01,0.06111087118848
2014-08-01,0.060909946502399996
2014-09-01,0.03190981681152
2014-10-01,0.03179075033088
2014-11-01,0.04008075404544
2014-12-01,0.10596916776960001
2015-01-01,0.04288625799552
2015-02-01,0.07118687211264
2015-03-01,0.04815494976384
2015-04-01,0.040929102720000006
2015-05-01,0.034201846563840003
2015-06-01,0.02591928450432
2015-07-01,0.028985246380800002
2015-08-01,0.02845688887296
2015-09-01,0.02946151230336
2015-10-01,0.028345264047359996
2015-11-01,0.03091263503616
2015-12-01,0.053713866078719995
2016-01-01,0.147344769792
2016-02-01,0.0842395350528
2016-03-01,0.7094873915136
2016-04-01,0.25346277066239997
2016-05-01,0.16133508126719998
2016-06-01,0.1137084890112
2016-07-01,0.0597564899712
2016-08-01,0.050052571799040005
2016-09-01,0.04269277496448
2016-10-01,0.047738217081600004
2016-11-01,0.058059792622080005
2016-12-01,0.4428528914304
2017-01-01,1.3104754525439999
2017-02-01,2.0144560193279997
2017-03-01,0.5731562711808
2017-04-01,0.70509681504
2017-05-01,0.5806723427712001
2017-06-01,0.30101494636799997
2017-07-01,0.172646396928
2017-08-01,0.13923336579839998
2017-09-01,0.05542544673791999
2017-10-01,0.045714086910719993
2017-11-01,0.0800722082304
2017-12-01,0.062457810750719996
2018-01-01,0.0950299348608
2018-02-01,0.07407423426816
2018-03-01,0.4428528914304
2018-04-01,0.5228506831104
2018-05-01,0.1556794234368
2018-06-01,0.115717735872
2018-07-01,0.07126873031808
2018-08-01,0.06855252622848
2018-09-01,0.04555781215488001
2018-10-01,0.0456173453952
2018-11-01,0.04450853879424001
2018-12-01,0.05817885910272
2019-01-01,0.1594002509568
2019-02-01,0.5223297672575999
2019-03-01,0.6075367174656
2019-04-01,0.5241901810176001
2019-05-01,0.47321484399360003
2019-06-01,0.3877846441344
2019-07-01,0.1335032914176
2019-08-01,0.1269546349824
2019-09-01,0.06055274706048
2019-10-01,0.05070743744256
2019-11-01,0.04605640304256
2019-12-01,0.0930951045504
2020-01-01,0.0827512040448
2020-02-01,0.0651144816
2020-03-01,0.06756278610816
2020-04-01,0.0866208646656
2020-05-01,0.0813372895872
2020-06-01,0.06359638397184
2020-07-01,0.0879603625728
2020-08-01,0.1074574987776
2020-09-01,0.043816464875519996
2020-10-01,0.04698660992256
2020-11-01,0.041524435123200004
2020-12-01,0.040482603417599995
2021-01-01,0.043161599232
2021-02-01,0.0554775383232
2021-03-01,0.05743469359872
2021-04-01,0.06232386096
2021-05-01,0.04763403391104001
2021-06-01,0.032185158048
2021-07-01,0.03194702508672
2021-08-01,0.031976791706879996
2021-09-01,0.03236375776895999
2021-10-01,0.0763513807104
2021-11-01,0.03632271825024
2021-12-01,0.1259128032768
2022-01-01,0.05855838350976
2022-02-01,0.05472593116416
