,inflow_km3
2000-01-01,1.0241649188688384
2000-02-01,3.30847053092352
2000-03-01,2.54596878890496
2000-04-01,0.935778447128448
2000-05-01,1.02733536158208
2000-06-01,1.08129480227712
2000-07-01,1.21107726617472
2000-08-01,0.93037803806592
2000-09-01,0.6509381612395393
2000-10-01,0.5781548308711679
2000-11-01,0.5655613180469761
2000-12-01,0.5465136578065921
2001-01-01,0.5917092846106752
2001-02-01,0.73778056397568
2001-03-01,0.84290882472576
2001-04-01,0.68317369929216
2001-05-01,0.86632771313664
2001-06-01,1.11809378644992
2001-07-01,1.2127888468339199
2001-08-01,0.9202350622464
2001-09-01,0.7271838704483713
2001-10-01,0.565739917767936
2001-11-01,0.617498861067648
2001-12-01,1.0987893891106562
2002-01-01,1.2732808699892737
2002-02-01,0.7388000707161599
2002-03-01,0.74805748958592
2002-04-01,0.66161522464128
2002-05-01,0.8702271403776
2002-06-01,1.07914416397056
2002-07-01,1.1847933405734399
2002-08-01,0.9224750004134401
2002-09-01,0.6699870865612799
2002-10-01,0.629982237397248
2002-11-01,0.584304614596224
2002-12-01,1.405335717669888
2003-01-01,2.044468586187072
2003-02-01,1.13330452935168
2003-03-01,0.80854326175104
2003-04-01,1.1198276920742398
2003-05-01,1.838208605526144
2003-06-01,1.1826836313696
2003-07-01,1.16240884221312
2003-08-01,0.89270838025344
2003-09-01,0.669935739141504
2003-10-01,0.6063585546396671
2003-11-01,0.58934931254784
2003-12-01,1.28498034237696
2004-01-01,1.1580566646795263
2004-02-01,2.8887909532876797
2004-03-01,1.8698125703155197
2004-04-01,0.894392426788992
2004-05-01,0.9127115490009601
2004-06-01,1.19614186450944
2004-07-01,1.22843864738304
2004-08-01,0.9001053853632
2004-09-01,0.7315349317337086
2004-10-01,0.6823551172377601
2004-11-01,0.5165156021748479
2004-12-01,0.8036116769560321
2005-01-01,0.77202706046976
2005-02-01,0.64863697825152
2005-03-01,0.83848103997696
2005-04-01,0.6725246909299201
2005-05-01,1.83971107567872
2005-06-01,1.14917013789696
2005-07-01,1.2115535320972801
2005-08-01,0.9076214569536001
2005-09-01,0.7483275472473216
2005-10-01,0.69129998659584
2005-11-01,0.6168157171349761
2005-12-01,2.266847935830144
2006-01-01,3.7345258953479803
2006-02-01,1.8095798144217599
2006-03-01,3.3310336290048
2006-04-01,4.0150705602816
2006-05-01,1.40656954407552
2006-06-01,1.2565308951590402
2006-07-01,1.1815264540108799
2006-08-01,1.07162809238016
2006-09-01,0.8244096144618239
2006-10-01,0.60044482021248
2006-11-01,0.588635657829504
2006-12-01,0.7590093733082881
2007-01-01,0.572500661371776
2007-02-01,0.80936928546048
2007-03-01,0.62030659751424
2007-04-01,0.7335537039129602
2007-05-01,0.8542350236966401
2007-06-01,0.989554078944
2007-07-01,1.17454618158336
2007-08-01,0.92329358246784
2007-09-01,0.6931909111415041
2007-10-01,0.5935984975756801
2007-11-01,0.546044089373568
2007-12-01,0.529531056839808
2008-01-01,0.8277092443065601
2008-02-01,0.79773053697792
2008-03-01,0.51338489789952
2008-04-01,0.66049897638528
2008-05-01,0.8356666060408319
2008-06-01,0.9498528493056
2008-07-01,0.9997729596449278
2008-08-01,0.8402834088276481
2008-09-01,0.6123743885740032
2008-10-01,0.60760369236096
2008-11-01,0.478106243851392
2008-12-01,0.410483180337408
2009-01-01,0.3938600857256063
2009-02-01,0.81643141609344
2009-03-01,0.72240610466304
2009-04-01,0.61694669026368
2009-05-01,0.893506869839232
2009-06-01,0.9340125423874559
2009-07-01,1.04664645641088
2009-08-01,0.909261597724416
2009-09-01,0.6133088371973761
2009-10-01,0.5597567526992256
2009-11-01,0.46109462042995203
2009-12-01,0.40140882618163193
2010-01-01,1.019380976509824
2010-02-01,0.91798024076928
2010-03-01,0.6344531837452799
2010-04-01,0.81911041190784
2010-05-01,0.9680849041535999
2010-06-01,1.1278044021116158
2010-07-01,1.0446595345152
2010-08-01,0.86576958900864
2010-09-01,0.647359246081152
2010-10-01,0.5802049324181376
2010-11-01,0.598539012356736
2010-12-01,1.4649820711464958
2011-01-01,0.9722286409295232
2011-02-01,0.66945872905344
2011-03-01,3.1498293287808
2011-04-01,1.6359734439935998
2011-05-01,1.01579335461504
2011-06-01,1.2995161271665918
2011-07-01,1.0996533652607998
2011-08-01,0.98986662845568
2011-09-01,0.8430494720060159
2011-10-01,0.74031072668928
2011-11-01,0.706445987098752
2011-12-01,0.556331433300864
2012-01-01,0.607604436526464
2012-02-01,0.48439220986368
2012-03-01,0.7729051757644799
2012-04-01,0.78098681313792
2012-05-01,0.869162239541376
2012-06-01,1.131304212476928
2012-07-01,1.2306837947086082
2012-08-01,1.03585233577536
2012-09-01,0.695461360094208
2012-10-01,0.58883583835008
2012-11-01,0.6981001709713921
2012-12-01,1.374341224428288
2013-01-01,0.707119456879872
2013-02-01,0.5956003027814399
2013-03-01,0.6439859438515201
2013-04-01,0.807895093597056
2013-05-01,1.01058419608704
2013-06-01,1.1517449505408
2013-07-01,1.2711388640025598
2013-08-01,0.978760702473984
2013-09-01,0.656404577782272
2013-10-01,0.6258960246147839
2013-11-01,0.47604118457779204
2013-12-01,0.423341616081024
2014-01-01,0.383217700436352
2014-02-01,0.5021331154790399
2014-03-01,0.68199791779584
2014-04-01,0.48960136839167995
2014-05-01,0.680435914402944
2014-06-01,0.8392691112456959
2014-07-01,0.8665881710630401
2014-08-01,0.7570834729839361
2014-09-01,0.556197483510144
2014-10-01,0.5072552066430719
2014-11-01,0.5088938590828801
2014-12-01,1.21997748560256
2015-01-01,0.44964712248192
