,inflow_km3
2001-02-01,0.032490179255232
2001-03-01,0.04182840634348801
2001-04-01,0.031149763883712
2001-05-01,0.02394130788576
2001-06-01,0.016204132491264
2001-07-01,0.010715876220096
2001-08-01,0.009353120592384002
2001-09-01,0.008496744105024
2001-10-01,0.007915897444032
2001-11-01,0.017730716664384
2001-12-01,0.044553917598911995
2002-01-01,0.050913443861568
2002-02-01,0.032758262329536
2002-03-01,0.04014544037702401
2002-04-01,0.034649737353792
2002-05-01,0.021975365340864
2002-06-01,0.016606257102720002
2002-07-01,0.010224390583872
2002-08-01,0.009554182898112001
2002-09-01,0.008221214278656
2002-10-01,0.007066967708736001
2002-11-01,0.011095660575360001
2002-12-01,0.073901567483136
2003-01-01,0.08217490902624
2003-02-01,0.042543294541632005
2003-03-01,0.05389959143923201
2003-04-01,0.085458926686464
2003-05-01,0.073707951929472
2003-06-01,0.031365719693568
2003-07-01,0.014200956186047999
2003-08-01,0.012369055178304
2003-09-01,0.010403112633408
2003-10-01,0.008377596071999999
2003-11-01,0.010924385277887999
2003-12-01,0.0407709675504
2004-01-01,0.038775237997248004
2004-02-01,0.10248220190476799
2004-03-01,0.05219428521657601
2004-04-01,0.037472056386048
2004-05-01,0.032959324635264
2004-06-01,0.021550900473216002
2004-07-01,0.012979688847552
2004-08-01,0.011750974756992
2004-09-01,0.009330780336192002
2004-10-01,0.011788208517312004
2004-11-01,0.011043533310912
2004-12-01,0.024522154546752
2005-01-01,0.03474654513062401
2005-02-01,0.03168593003232
2005-03-01,0.052715557861056
2005-04-01,0.046043268011712
2005-05-01,0.06635056089024
2005-06-01,0.032661454552704
2005-07-01,0.018549859391424
2005-08-01,0.01541477677248
2005-09-01,0.010380772377216001
2005-10-01,0.00964354392288
2005-11-01,0.015519031301376
2005-12-01,0.125023520402496
2006-01-01,0.10112689302912
2006-02-01,0.07842174598598402
2006-03-01,0.122134180601664
2006-04-01,0.168244469381952
2006-05-01,0.06737076592300799
2006-06-01,0.03198380011488001
2006-07-01,0.018572199647616
2006-08-01,0.015898815656640003
2006-09-01,0.0119148033024
2006-10-01,0.011110554079488
2006-11-01,0.014588187293376
2006-12-01,0.024254071472448003
2007-01-01,0.01571264685504
2007-02-01,0.043347543764544
2007-03-01,0.029064673305792002
2007-04-01,0.023829606604799998
2007-05-01,0.017365825813247998
2007-06-01,0.014610527549568
2007-07-01,0.012190333128767999
2007-08-01,0.010380772377216
2007-09-01,0.008802060939648
2007-10-01,0.009040357005696
2007-11-01,0.008251001286912
2007-12-01,0.012272247401471998
2008-01-01,0.027076390504704
2008-02-01,0.02937743689248
2008-03-01,0.023740245580032
2008-04-01,0.023948754637824
2008-05-01,0.02204238610944
2008-06-01,0.014327550971136
2008-07-01,0.008794614187584001
2008-08-01,0.008109512997696
2008-09-01,0.0068807989071360005
2008-10-01,0.007402071551616001
2008-11-01,0.011065873567104
2008-12-01,0.010291411352448
2009-01-01,0.012867987566592002
2009-02-01,0.05882934130560001
2009-03-01,0.061644213585792
2009-04-01,0.027984894256512002
2009-05-01,0.034485908808384
2009-06-01,0.0174998673504
2009-07-01,0.01035098536896
2009-08-01,0.009189292046976001
2009-09-01,0.007774409154816
2009-10-01,0.008690359658688
2009-11-01,0.008690359658688
2009-12-01,0.013270112178048
2010-01-01,0.045834758953920016
2010-02-01,0.049677283018944
2010-03-01,0.040458203963712004
2010-04-01,0.05651340141369601
2010-05-01,0.04398796444204801
2010-06-01,0.034910373676032
2010-07-01,0.017194550515776005
2010-08-01,0.011758421509056002
2010-09-01,0.010410559385472
2010-10-01,0.010470133401984
2010-11-01,0.012741392781504001
2010-12-01,0.059030403611328
2011-01-01,0.031321039181184
2011-02-01,0.04482944742528
2011-03-01,0.10718110245715201
2011-04-01,0.07965790682860799
2011-05-01,0.062388888792192
2011-06-01,0.053378318794751994
2011-07-01,0.026622138628799995
2011-08-01,0.017261571284352
2011-09-01,0.012391395434496003
2011-10-01,0.011065873567104003
2011-11-01,0.011237148864576
2011-12-01,0.01012758280704
2012-01-01,0.016017963689664003
2012-02-01,0.013188197905344
2012-03-01,0.05644638064512
2012-04-01,0.051062378902848
2012-05-01,0.031298698924992
2012-06-01,0.018549859391424
2012-07-01,0.010872258013439998
2012-08-01,0.009368014096512
2012-09-01,0.007990364964672
2012-10-01,0.00804249222912
2012-11-01,0.022213661406912
2012-12-01,0.08619615514080002
2013-01-01,0.029541265437887997
2013-02-01,0.025475338810944
2013-03-01,0.031023169098624
2013-04-01,0.02557959333984
2013-05-01,0.015265841731200004
2013-06-01,0.012800966798016001
2013-07-01,0.009561629650176
2013-08-01,0.009360567344448002
2013-09-01,0.00848929735296
2013-10-01,0.007610580609408
2013-11-01,0.008541424617407999
2013-12-01,0.008541424617408
2014-01-01,0.00804249222912
2014-02-01,0.019741339721664
2014-03-01,0.038492261418816
2014-04-01,0.02423917796832
2014-05-01,0.011944590310656
2014-06-01,0.009032910253632
2014-07-01,0.0076329208656
2014-08-01,0.007923344196096001
2014-09-01,0.006404206775040001
2014-10-01,0.006791437882368
2014-11-01,0.008429723336448001
2014-12-01,0.047056026292415995
2015-01-01,0.012302034409728001
2015-02-01,0.031671036528192004
2015-03-01,0.015578605317888
2015-04-01,0.011222255360448002
2015-05-01,0.008690359658688
2015-06-01,0.007588240353216
2015-07-01,0.007349944287167999
2015-08-01,0.007126541725248001
2015-09-01,0.006098889940416
2015-10-01,0.006128676948672
2015-11-01,0.007424411807808002
2015-12-01,0.019041345027647996
2016-01-01,0.056647442950848
2016-02-01,0.033838041378816006
2016-03-01,0.10998852798528
2016-04-01,0.030859340553215996
2016-05-01,0.018631773664128003
2016-06-01,0.017045615474495998
2016-07-01,0.011475444930624001
