,ssebop
2017-08-01,0.426792
2017-09-01,0.259197
2017-10-01,0.09747
2017-11-01,0.0027359999999999997
2017-12-01,0.002784
2018-01-01,0.004405
2018-02-01,0.010561
2018-03-01,0.07051099999999999
2018-04-01,0.17132999999999998
2018-05-01,0.359684
2018-06-01,0.48345699999999997
2018-07-01,0.49768199999999996
2018-08-01,0.500162
2018-09-01,0.278873
2018-10-01,0.040801
2018-11-01,0.020708
2018-12-01,0.0007549999999999999
2019-01-01,0.004543
2019-02-01,0.001302
2019-03-01,0.07069
2019-04-01,0.127577
2019-05-01,0.385082
2019-06-01,0.520311
2019-07-01,0.582251
2019-08-01,0.459966
2019-09-01,0.29192999999999997
2019-10-01,0.06923
2019-11-01,0.0068509999999999995
2019-12-01,0.000856
2020-01-01,0.001155
2020-02-01,0.021589999999999998
2020-03-01,0.018715
2020-04-01,0.07177599999999999
2020-05-01,0.33230699999999996
2020-06-01,0.478718
2020-07-01,0.504548
2020-08-01,0.446444
2020-09-01,0.348246
2020-10-01,0.053236
2020-11-01,0.0017499999999999998
2020-12-01,0.003008
2021-01-01,0.0020729999999999998
2021-02-01,0.0028959999999999997
2021-03-01,0.058270999999999996
2021-04-01,0.046225999999999996
2021-05-01,0.23877299999999999
2021-06-01,0.382718
2021-07-01,0.414987
2021-08-01,0.43702399999999997
2021-09-01,0.23291299999999998
2021-10-01,0.059892999999999995
2021-11-01,0.012419999999999999
2021-12-01,0.0011489999999999998
