Unnamed: 0,MODkc,pet,aet,kc
2001-01-01,0.14743312039482087,0.3374550861877427,0.10658987940673607,0.4245602206250001
2001-02-01,0.11013730259695491,0.2135115033096297,0.08996274044494376,0.4666868185416666
2001-03-01,0.25760932346951126,0.5153760015106192,0.16237052935180518,0.4896170195833333
2001-04-01,0.3515965608533419,0.45783027152709815,0.1241463583053571,0.7001320204166667
2001-05-01,0.7723529188065372,0.9310902401184077,0.1252566895179728,0.7974605222916669
2001-06-01,0.6266932310791018,0.6719903126586907,0.09480419960002696,0.900018358958333
2001-07-01,0.9087343742871674,0.9426710798217768,0.2955657612991319,0.9146836349999998
2001-08-01,0.7867086156748275,0.8821134758056637,0.18708435190715644,0.8778013412499996
2001-09-01,0.42603640318432956,0.696856688800048,0.10098908835410883,0.6696551610416667
2001-10-01,0.21198462843409985,0.4092442211975086,0.045857249519346485,0.5883944877083332
2001-11-01,0.1039103659119403,0.246925261395262,0.06009219042434505,0.4504761108333333
2001-12-01,0.046284655682449855,0.08947224102172661,0.054596970098875104,0.38749686020833346
2002-01-01,0.0674231153270381,0.14268105219726365,0.06395058136024293,0.4245602206250001
2002-02-01,0.1536330905630974,0.31201506499328474,0.1110765588890054,0.4666868185416666
2002-03-01,0.2318995617089494,0.45539207561645356,0.1636745392639145,0.4896170195833333
2002-04-01,0.3552659061130398,0.45410858997802617,0.13924106939849665,0.7001320204166667
2002-05-01,0.68000925379495,0.7995119314636224,0.16682219961547692,0.7974605222916669
2002-06-01,0.947712641693998,0.9889976692199701,0.2738718892364489,0.900018358958333
2002-07-01,0.9024496917279135,0.9406110575500481,0.2757879001424777,0.9146836349999998
2002-08-01,0.7713692455422593,0.8700662701538081,0.1716434988876326,0.8778013412499996
2002-09-01,0.4445523777342593,0.7340318118347166,0.08549631012668417,0.6696551610416667
2002-10-01,0.20716366616640017,0.4000470306976307,0.03657006019706541,0.5883944877083332
2002-11-01,0.112247245823368,0.28810241851959084,0.04425210019397541,0.4504761108333333
2002-12-01,0.050471067612345315,0.10778022057266079,0.049939560152433525,0.38749686020833346
2003-01-01,0.051939239623518714,0.10182482949943328,0.051426179619596224,0.4245602206250001
2003-02-01,0.15073189977399717,0.30468545910186634,0.11190465023345739,0.4666868185416666
2003-03-01,0.2251291336172242,0.4239653436035143,0.17774729997253225,0.4896170195833333
2003-04-01,0.2824965174741601,0.3479843722137436,0.1468026016548138,0.7001320204166667
2003-05-01,0.6742650767435155,0.7682945428344721,0.21095037119750817,0.7974605222916669
2003-06-01,0.9445022482676052,0.9838379651000972,0.19326230881347484,0.900018358958333
2003-07-01,0.928110056773848,0.9830400296264644,0.1813518004600505,0.9146836349999998
2003-08-01,0.7907053174210686,0.8728250382202142,0.23996826139182875,0.8778013412499996
2003-09-01,0.4370223480624499,0.7139859348999015,0.10883709153156099,0.6696551610416667
2003-10-01,0.24630579896559407,0.48792357020873905,0.036901079341504814,0.5883944877083332
2003-11-01,0.1057206692633082,0.25271252942046984,0.06279911894187709,0.4504761108333333
2003-12-01,0.05590132249626749,0.11780721125449917,0.057220919664571976,0.38749686020833346
2004-01-01,0.07502691174181282,0.14620355977477847,0.07422902953719901,0.4245602206250001
2004-02-01,0.1119553037244024,0.20794706869811824,0.10184616024169701,0.4666868185416666
2004-03-01,0.27696749786056235,0.553334941461181,0.17654399923095496,0.4896170195833333
2004-04-01,0.5150456903820643,0.6836485396728509,0.15022557185668742,0.7001320204166667
2004-05-01,0.5266361095740675,0.6185328299285883,0.12211226912383798,0.7974605222916669
2004-06-01,0.9478836376667273,0.983245411120605,0.30527757823905805,0.900018358958333
2004-07-01,0.9047214504809064,0.9357368370666501,0.3133035922027575,0.9146836349999998
2004-08-01,0.7770679792892035,0.866557248706054,0.1945817098211272,0.8778013412499996
2004-09-01,0.43960318202136295,0.7228091719116203,0.08137142991657105,0.6696551610416667
2004-10-01,0.2414746470664239,0.4443823822082505,0.07702577962989585,0.5883944877083332
2004-11-01,0.083315836547115,0.19059047984618996,0.051610139751432596,0.4504761108333333
2004-12-01,0.06707399514602272,0.15270218997802557,0.05828381958732384,0.38749686020833346
2005-01-01,0.042786470918605025,0.08325845954818499,0.044529299189756524,0.4245602206250001
2005-02-01,0.1335572777446299,0.24397622939300367,0.12886479069213672,0.4666868185416666
2005-03-01,0.24866230083324703,0.47010645513610705,0.18550934980773728,0.4896170195833333
2005-04-01,0.35636037918254665,0.4462724680389388,0.1612821590194684,0.7001320204166667
2005-05-01,0.6408338694141377,0.7268391030212397,0.22068440845641898,0.7974605222916669
2005-06-01,0.8991594854078319,0.9216363540893547,0.2514530742874133,0.900018358958333
2005-07-01,0.962935624493469,1.014309112445068,0.2238976788333876,0.9146836349999998
2005-08-01,0.785582610165669,0.8818546469787591,0.18373895835170564,0.8778013412499996
2005-09-01,0.4281220351932919,0.6892496052429193,0.11707668110618415,0.6696551610416667
2005-10-01,0.20340537664401434,0.3848645700988752,0.05012010049266611,0.5883944877083332
2005-11-01,0.11029857700088128,0.27113211477355786,0.05343759024925051,0.4504761108333333
2005-12-01,0.04297985645885946,0.09339470945892105,0.03979844990386755,0.38749686020833346
2006-01-01,0.06775020220642033,0.12675753230438025,0.07154640014419347,0.4245602206250001
2006-02-01,0.13457150997400125,0.2709870311370832,0.10271645914306418,0.4666868185416666
2006-03-01,0.12963130635576442,0.21422295024719099,0.1273922125900251,0.4896170195833333
2006-04-01,0.3255690053087639,0.3978383376983627,0.1747100694946274,0.7001320204166667
2006-05-01,0.6985872204417763,0.7936236901977534,0.2241783002197249,0.7974605222916669
