"","year","GWS_ss","GWS_sy","GWS_avg"
"1",2002-01-15,NA,NA,NA
"2",2002-02-15,NA,NA,NA
"3",2002-03-15,NA,NA,NA
"4",2002-04-15,-0.000130053393517827,-0.566213917478375,-0.283171985435946
"5",2002-05-15,-0.000190950694931468,-0.887759348931731,-0.443975149813331
"6",2002-06-15,-0.000205183397138098,-0.93573599958432,-0.467970591490729
"7",2002-07-15,-0.000227585700213137,-1.06349889294133,-0.531863239320772
"8",2002-08-15,-0.000234325672608749,-1.06306307167611,-0.531648698674359
"9",2002-09-15,-0.000229034167420357,-1.03826100526876,-0.51924501971809
"10",2002-10-15,-0.000208831815037706,-0.929890937422807,-0.465049884618922
"11",2002-11-15,-0.000184354752743481,-0.794686045441842,-0.397435200097293
"12",2002-12-15,-0.000161838154913376,-0.681967511472996,-0.341064674813955
"13",2003-01-15,-0.000112648711801478,-0.418429598454729,-0.209271123583265
"14",2003-02-15,-0.000111048378567823,-0.424617749133205,-0.212364398755886
"15",2003-03-15,-0.000106643821780071,-0.399871237694918,-0.199988940758349
"16",2003-04-15,-0.000116701153241899,-0.485000305185912,-0.242558503169577
"17",2003-05-15,-0.00013551990779875,-0.585753234947722,-0.29294437742776
"18",2003-06-15,-0.000142826614564775,-0.632882943505307,-0.316512885059936
"19",2003-07-15,-0.000153316028980579,-0.675602286417004,-0.337877801222992
"20",2003-08-15,-0.000157449470736628,-0.684988878512389,-0.342573163991563
"21",2003-09-15,-0.000147888553269313,-0.6208635245956,-0.310505706574435
"22",2003-10-15,-0.000132476572641971,-0.541748332342763,-0.270940404457702
"23",2003-11-15,-0.000110773223777396,-0.433161973627824,-0.216636373425801
"24",2003-12-15,-9.06698988849618e-05,-0.345056832880712,-0.172573751389798
"25",2004-01-15,-8.34103044418472e-05,-0.296424423238722,-0.148253916771582
"26",2004-02-15,-8.52105410985645e-05,-0.30211272413429,-0.151098967337694
"27",2004-03-15,-9.41713562791184e-05,-0.35617372926336,-0.17813395030982
"28",2004-04-15,-0.000102230195322471,-0.409618488735281,-0.204860359465302
"29",2004-05-15,-0.000127495227471782,-0.542321308750837,-0.271224401989154
"30",2004-06-15,-0.000142318594477928,-0.600412631445484,-0.300277475019981
"31",2004-07-15,-0.000152203892334338,-0.660934237906868,-0.330543220899601
"32",2004-08-15,-0.000151234038969208,-0.665751238680202,-0.332951236359586
"33",2004-09-15,-0.000127923659005705,-0.556107512452329,-0.278117718055667
"34",2004-10-15,-0.00012015631635055,-0.527446419268268,-0.263783287792309
"35",2004-11-15,-9.61228600726253e-05,-0.406874786767511,-0.203485454813792
"36",2004-12-15,-9.09709222636074e-05,-0.378553683308547,-0.189322327115405
"37",2005-01-15,-7.42173143427571e-05,-0.290612104075192,-0.145343160694767
"38",2005-02-15,-6.64920359528545e-05,-0.251592736170099,-0.125829614103026
"39",2005-03-15,-7.47208993889094e-05,-0.291839659819903,-0.145957190359646
"40",2005-04-15,-9.58509244188338e-05,-0.379964689722875,-0.190030270323647
"41",2005-05-15,-0.000126491635693612,-0.564024164706653,-0.282075328171173
"42",2005-06-15,-0.00013647181153403,-0.625593364928419,-0.312864918369976
"43",2005-07-15,-0.000160400225589469,-0.767765720147694,-0.383963060186642
"44",2005-08-15,-0.000168229882543119,-0.827003701587102,-0.413585965734823
"45",2005-09-15,-0.00017264281399295,-0.877391754715973,-0.438782198764983
"46",2005-10-15,-0.000174838212985401,-0.929555371401854,-0.46486510480742
"47",2005-11-15,-0.000155777823812572,-0.834926063179626,-0.417540920501719
"48",2005-12-15,-0.000119405291088574,-0.656745404229558,-0.328432404760323
"49",2006-01-15,-0.000102603543737667,-0.567521235369518,-0.283811919456628
"50",2006-02-15,-9.94825409862649e-05,-0.567992637747473,-0.28404606014423
"51",2006-03-15,-0.000106412045757001,-0.564025356035937,-0.282065884040847
"52",2006-04-15,-0.00010006483525565,-0.515279000127327,-0.257689532481291
"53",2006-05-15,-0.000112027483933882,-0.568657228231018,-0.284384627857476
"54",2006-06-15,-0.000111285350963486,-0.527995187009147,-0.264053236180055
"55",2006-07-15,-0.000132847150419856,-0.644840891708004,-0.322486869429212
"56",2006-08-15,-0.00016161680433024,-0.820661239964677,-0.410411428384504
"57",2006-09-15,-0.000168801714379165,-0.851054173280227,-0.425611487497303
"58",2006-10-15,-0.000159823605194866,-0.79726459859278,-0.398712211098987
"59",2006-11-15,-0.000135326351740857,-0.698606570683273,-0.349370948517507
"60",2006-12-15,-0.000144492342571897,-0.742249641190882,-0.371197066766727
"61",2007-01-15,-0.000139074095646008,-0.714789153218238,-0.357464113656942
"62",2007-02-15,-0.000188823796218449,-0.985730552484346,-0.492959688140282
"63",2007-03-15,-0.000188991975736423,-0.976015040795703,-0.48810201638572
"64",2007-04-15,-0.000195934198010593,-0.964758839502437,-0.482477386850224
"65",2007-05-15,-0.000211031838803897,-1.02067966336827,-0.510445347603537
"66",2007-06-15,-0.000218765658433082,-1.0236634459743,-0.511941105816367
"67",2007-07-15,-0.00023235419280798,-1.11744757034532,-0.558839962269064
"68",2007-08-15,-0.000233254246014289,-1.14882836205621,-0.574530808151112
"69",2007-09-15,-0.000222648666679061,-1.07914096020866,-0.539681804437669
"70",2007-10-15,-0.000174731658983061,-0.861760188399134,-0.430967460029059
"71",2007-11-15,-0.000156877036873222,-0.756433954640106,-0.37829541583849
"72",2007-12-15,-0.000178803199089288,-0.911827659541789,-0.456003231370439
"73",2008-01-15,-0.000203032052231516,-1.05659598690176,-0.528399509476996
"74",2008-02-15,-0.000223044447277497,-1.18935098240105,-0.594787013424164
"75",2008-03-15,-0.000234913007613455,-1.22542596170835,-0.612830437357982
"76",2008-04-15,-0.000236770069235268,-1.21018078595012,-0.605208778009678
"77",2008-05-15,-0.00026553874199345,-1.36417425289308,-0.682219895817537
"78",2008-06-15,-0.000278716684213148,-1.38369840661501,-0.691988561649612
"79",2008-07-15,-0.000331781567860558,-1.69556748805528,-0.84794963481157
