,p_prism,p_gpm,p_dmet,p_chirps,p_psn,aet_modis,aet_gldas,aet_tc,aet_fldas,sm_smos,sm_smap,sm_tc,sm_gldas,r_tc,r_gldas,r_fldas,r_ecmwf
2001-01-31,0.3377064328846489,0.44895595020429496,0.34933790864498815,0.38718875301612027,0.3294756504353431,0.07684540386175233,0.05315995026254788,0.0970680201959302,0.10564899812646249,,,0.5384565376758964,1.3030381834434261,0.00041052253912941166,0.00010367136739575117,8.672168270475601e-05,8.780543973765186e-06
2001-02-28,0.37617572457051107,0.5754271518978836,0.3984015133559713,0.4164310689302499,0.43071334760717767,0.06472612778652412,0.09321545180295868,0.13264219634541963,0.14814479871329164,,,0.7404468005779576,1.5315222208282393,0.00030838702474509803,0.00026093699935214864,0.00013516501443974082,5.6203580625337715e-06
2001-03-31,0.15481201183377347,0.2077625638821264,0.13617378109254302,0.19552845533450344,0.2038045398594067,0.12216269059360557,0.22297325613434307,0.19130950184960072,0.262982533348176,,,0.7065215589038683,1.7195136939917197,0.00013916077481568626,0.0006599578345532408,5.793691302912889e-06,3.931279773345648e-06
2001-04-30,0.13543961862910353,0.19572331144042285,0.12431233540973732,0.14024128836126898,0.18552873529232122,0.09419954510020465,0.30867940372825103,0.19801934332441348,0.27473889728310513,,,0.646247851586259,1.6200523567410823,0.00028942666102745095,0.00064176884981186,2.5268673308764357e-05,4.2804770777653244e-06
2001-05-31,9.123485020716229e-07,0.004305512688479418,0.0,0.02765706830847971,0.00951718642082981,0.09487270910556096,0.3786087255277451,0.11026381476682626,0.27973513191726623,,,0.434323720896753,1.3679718723309855,0.0,0.0003913601903523537,6.373070122129324e-07,1.7562997953377517e-07
2001-06-30,0.011233233913622461,0.02236234063014709,0.013341183289812281,0.020192298688772373,0.04157904454485335,0.06789462505765632,0.20872710506117614,0.07152066205472786,0.11032195660277855,,,0.29803434764408476,1.0756588253537522,0.0,0.00025121419285651796,9.512504461098313e-09,9.87588537047891e-08
2001-07-31,0.0,0.0009160190418083112,0.0,0.002749028744129359,0.0012995360947343924,0.1921913937276179,0.09007698586857195,0.03343675711578901,0.04090200280078594,,,0.21341278668559063,0.9129393791564886,0.0,0.00019750412972986193,2.5108662271312734e-08,2.2967574711593928e-07
2001-08-31,0.0,0.000432147905849248,0.0,0.0058553733841168925,0.0010776629425937713,0.12397350079805651,0.03388690020064724,0.022898876986267466,0.016778283417871596,,,0.16993026912135528,0.8269992757255601,0.0,0.00016240293536246624,9.513129608895418e-09,5.037372196071288e-08
2001-09-30,0.023306558845228132,0.02853582619127507,0.025495459123659983,0.03240005695602473,0.03285696684244185,0.0710009412406851,0.032649519595178006,0.04716917775259099,0.021011822521975868,,,0.1422371447928471,0.7992091923414164,0.0,0.0001360206522451724,9.513601971867085e-09,4.359319289244858e-08
2001-10-31,0.08196174055909512,0.1051557290981377,0.11307821879788217,0.10538445199049572,0.08557967604714006,0.034092280225274066,0.03947495468948327,0.09292447389537681,0.026834100991453936,,,0.1284380848935153,0.8018335257841871,0.0,0.00012791294088922175,1.8762304635699283e-05,2.590681986067809e-07
2001-11-30,0.35349988956764256,0.5337512559758973,0.4334469464889606,0.35387356928338215,0.502991962725067,0.04433254700063548,0.038988278819433356,0.1507961434566149,0.09661260459204714,,,0.5138933558524988,0.9520085397524491,0.00030838702474509803,0.0001386698554229984,0.00013296743168628785,5.156651142558397e-06
2001-12-31,0.5381490343550237,0.8103483857588103,0.6039141075373012,0.5455117600899223,0.7705726020010029,0.03886636707947325,0.0386286424691237,0.09374586653761412,0.09434521251856477,,,0.8688730486422588,1.3856102449741199,0.0002455281148,0.00015500610909833563,5.034915978910107e-05,1.2795079601858876e-05
2002-01-31,0.22907180166007682,0.35608191166838116,0.2842079706186857,0.34899787647970454,0.3149225984477256,0.044151312366426824,0.0656946779718305,0.08028888130091097,0.14014998159820058,,,0.9326762962365742,1.8195273147616429,0.00010159078649411762,0.00013110185310494333,5.503735816913331e-05,2.718804316477448e-06
2002-02-28,0.08455521686149466,0.16367651288523768,0.08436222452080067,0.12516021919086084,0.21507513623001878,0.0806320620865904,0.1142809619602226,0.11782292256457769,0.17828933495791713,,,0.9080525073974212,1.7934536188252075,0.0,0.0001410431628257128,4.831896492434332e-07,9.590839175179893e-07
2002-03-31,0.21990083988916106,0.2908493642026686,0.2102585868014257,0.2261424574856141,0.2920877500582519,0.12292678370277063,0.23771815748607292,0.21382555974744738,0.253896101048695,,,0.8852559201207718,1.8601317993744293,0.00010159078649411762,0.00015164803425661647,3.988477549415157e-05,4.447237332648389e-06
2002-04-30,0.022245119748302247,0.08055561338956786,0.031303479022599605,0.06254132701118399,0.09126090903359407,0.10679630186367782,0.30858736150855204,0.19478302330149808,0.2785344944788418,,,0.7288827280251484,1.706949217303811,0.00010159078649411762,0.00011559832214772462,8.236692425797149e-06,9.436422809769125e-07
2002-05-31,0.09145050383123776,0.11003652959932536,0.10219197641796979,0.07906747116789374,0.09004022602208676,0.12585274196970775,0.3336795873567678,0.2522323853951667,0.26123035223892016,,,0.546782848684273,1.474728978117465,0.0,9.964469841789911e-05,6.81166238832836e-07,2.848081576200092e-07
2002-06-30,0.0,0.002539353156380667,0.0,0.011206989435544512,0.0028876016572952274,0.19462839122616712,0.26841664388034064,0.11601411713161099,0.16930603231103888,,,0.3549627842740705,1.1910648290561836,0.0,8.411196690294278e-05,1.4788190251368656e-07,2.761657405904695e-08
2002-07-31,2.54607320043826e-05,0.0008515479374983267,0.0,0.0027128252844832,0.00026786477759773494,0.17183740550791798,0.09664178991507998,0.056425638332631756,0.04778382763356189,,,0.2425986610163953,0.9545247174432349,0.0,7.904414385132686e-05,9.51248033176955e-09,2.9705465285918294e-08
2002-08-31,0.0,0.00041968374861712143,0.0,0.005851543688122647,0.0,0.10969587864936776,0.037721771745995586,0.03427044614723331,0.018363410245514935,,,0.18814674941711057,0.8423680146712708,0.0,7.332081686774694e-05,9.522613242427375e-09,1.6176078652868085e-08
2002-09-30,0.0,0.00029759340742055874,0.0,0.010621016728375501,0.0,0.058744988758475794,0.014978463473290567,0.023567083487001574,0.00734108619328388,,,0.15483598850770824,0.7977845194344416,0.0,6.666306813384318e-05,3.304206068765355e-07,2.7449807377422558e-08
2002-10-31,0.0,0.0051734470801433514,0.0,0.026750639351433528,0.0016085303250867918,0.026277750849408824,0.007303643927742291,0.01712540483220353,0.014664783241504309,,,0.13225152578620236,0.7811303599005639,0.0,6.516074569882369e-05,1.433407762708913e-06,4.333653037922055e-08
2002-11-30,0.18812328592718058,0.3229848182759176,0.22576663107253836,0.18446651683851364,0.3304487792407329,0.029488269413640758,0.07222630221303003,0.1498196485453274,0.07098070645209942,,,0.29078338997187764,0.918501709314292,0.00030838702474509803,0.0002768060461059615,0.0001125662221432735,2.1891231234409297e-05
2002-12-31,0.6912164540675713,1.1617356904830336,0.8297872980382316,0.8192129969204403,1.0850166554864504,0.03483392266503881,0.06150569186752049,0.11225140118139411,0.07721902329134228,,,0.8717254977861271,1.314901772483504,0.00030722760381176467,0.0001116491862132816,0.00010322656552480341,5.325019976836092e-06
2003-01-31,0.2104874556721712,0.35170815594021415,0.26318838809400413,0.31085796954676387,0.29906039041836163,0.03431280842107541,0.07422074658800377,0.10046293429231849,0.12802420118630398,,,0.9215018526852519,1.8275545482877615,0.0,8.247471672500522e-05,7.978385970606683e-06,4.34764939104342e-07
2003-02-28,0.15283786036931948,0.19226390434183838,0.16631607216539673,0.22259363754958714,0.1684515623800159,0.08147592539051525,0.1449390444982402,0.12422752902723017,0.19683901041286458,,,0.9245823572196894,1.8259583411685782,0.00030838702474509803,0.00017163839579044268,5.682794617551947e-05,2.497861754470479e-06
2003-03-31,0.174654225053855,0.2679087884800654,0.21449901266550495,0.22449741312428143,0.2957510545937046,0.13210942431568495,0.27280121009622293,0.2206049759756137,0.2645805042222564,,,0.8946033847043012,1.811063796052028,0.00010159078649411762,0.0002362856119043592,3.579263515150603e-05,1.8857009889382942e-06
2003-04-30,0.31173922263522713,0.5306280465642212,0.34922911324537614,0.28342842812259905,0.5415978617188806,0.11047533086340858,0.2625968141278194,0.25802694166955564,0.2657437413553814,,,0.8819974659505695,1.9236307729741369,0.00030838702474509803,0.0002553596792625488,4.068938962435628e-05,2.8261460491400137e-06
2003-05-31,0.0809029248973651,0.12768803779118573,0.08777241059397192,0.09230356890368602,0.12773729618495913,0.1599905950965794,0.41609988638051526,0.27946044513043555,0.3246277511736187,,,0.6778191178294213,1.799048305262355,0.00010159078649411762,0.00020437836532642836,6.9337848176530835e-06,2.552046850722911e-06
2003-06-30,4.326245498843901e-06,0.002182650775581552,0.0,0.010249020154910735,0.0009322079363424944,0.137202090018107,0.35136219280119285,0.17465565370591302,0.2690639180171282,,,0.4303355339956706,1.365359565360209,0.0,0.00015202059432685346,9.577434034931804e-09,1.9554869420388166e-08
2003-07-31,4.361571357534102e-06,0.0013332167886997356,3.5622045096659065e-06,0.002746341802776085,0.0011059229035558296,0.12124606452942102,0.15223673749213404,0.07800148419615766,0.09609091140595515,,,0.27942280877236714,1.0557788948381908,0.0,0.00012466663413700135,3.0233898870410016e-08,2.3903484522174384e-07
2003-08-31,0.0417683352635365,0.06151170569316056,0.04795223892345832,0.023217747352124812,0.07457533356342477,0.15514833526297195,0.09957217921616217,0.08284314526629141,0.04088670449725257,,,0.20995635803798593,0.9210011437692927,0.0,0.00010538816422561797,1.1437876297634793e-08,1.392470999325023e-07
2003-09-30,2.30228075054934e-06,0.000981156336073993,0.0,0.011439995118127683,0.002735719544522237,0.07536572903522415,0.04077159120845339,0.028949743321019204,0.016682223726323067,,,0.16886675261439998,0.8586975267383722,0.0,8.951308013063262e-05,8.870253555830198e-07,2.166727210587146e-08
2003-10-31,0.004859651450283523,0.01517813537240436,0.014512665377942446,0.03185414107003931,0.0031278777483757865,0.027178692236981394,0.014891030750215965,0.026484743473080784,0.010988062931207639,,,0.14197126566610827,0.8226395725479771,0.0,8.340108185874367e-05,2.682328393410396e-07,4.187721529310825e-08
2003-11-30,0.21060626779173455,0.28050688038912797,0.23980323888088306,0.2274002301685049,0.26584548416772963,0.04254587618256579,0.03483682511738102,0.11892418602614423,0.0596788908847263,,,0.3102877933483671,0.864606448890135,0.00010520545175686272,7.601331824473186e-05,2.221142261995106e-05,1.2615153358066783e-06
2003-12-31,0.5210457796560335,0.8327394813862787,0.6155100604318773,0.5755104291665261,0.7834083087065344,0.04020560931254454,0.053476203209910304,0.09161404738784241,0.1023347379900764,,,0.8383131024974307,1.2940308639259532,0.0002455281148,0.00012206274289726257,5.819611355441238e-05,1.8091789326815277e-05
